dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,51701637,47-ы кіламетр МКАД,,,,,
way,51701637,47-ы кіламетр МКАД,,,,,
way,825798740,Жытомір,,,,,
way,825798740,Жытомір,,,,,
way,25252537,Мозырский лесозавод,,,,,
way,25252550,НПЗ,,,,,
way,25257658,НПЗ,,,,,
way,25257658,НПЗ,,,,,
way,1009364634,НПЗ,,,,,
way,37760998,Палацава-паркавы ансамбль у г.Нясвіж,,,,,
way,37760998,Палацава-паркавы ансамбль у г.Нясвіж,,,,,
way,137369779,"РУП ""Беларуснафта-Мінскаблнафтапрадукт""",,,,,
way,137369779,"РУП ""Беларуснафта-Мінскаблнафтапрадукт""",,,,,
way,84048800,"РУПП ""Граніт""",,,,,
way,84048800,"РУПП ""Граніт""",,,,,
way,230159216,Рагісполле,,,,,
way,230159216,Рагісполле,,,,,
way,27947134,"Спарткомплекс ""Стайкі""",,,,,
way,27947134,"Спарткомплекс ""Стайкі""",,,,,
way,136027801,"Спарткомплекс ""Стайкі""",,,,,
way,136027801,"Спарткомплекс ""Стайкі""",,,,,
way,137369779,"кар'ер ""Чаркасы""",,,,,
way,137369779,"кар'ер ""Чаркасы""",,,,,
way,314237096,станцыя Валожын,,,,,
way,314237096,станцыя Валожын,,,,,
way,137369779,станцыя Фаніпаль,,,,,
way,137369779,станцыя Фаніпаль,,,,,
