osm_type,osm_id,name,name:be,name:ru
way,601991885,2 здание ДЩИ,,2 здание ДЩИ
node,4452845043,Арт-пространство vzap,,Арт-пространство vzap
node,3933853619,Арт-центр «Крок»,,Арт-центр «Крок»
way,61192369,Брестская областная филармония,,Брестская областная филармония
node,5371733469,Будаговский сельский дом культуры,,Будаговский сельский дом культуры
way,262044788,Вильчицкая детская школа искусств,,Вильчицкая детская школа искусств
way,39234463,ГУО «Слуцкий Центр детского творчества»,,ГУО «Слуцкий Центр детского творчества»
node,5895769628,Галерея искусств,,Галерея искусств
node,7606978759,Гольшанская детская школа искусств,,Гольшанская детская школа искусств
node,3206003031,"ДК ""Дарсай""",,"ДК ""Дарсай"""
way,260432146,"ДК ""Мелиоратор""",,"ДК ""Мелиоратор"""
way,245998238,ДК Пятидесятилетия СССР,,ДК Пятидесятилетия СССР
node,7247905446,ДУДА «Цэнтр творчасці «Эверэст» г. Магілёва»,,ДУДА «Цэнтр творчасці «Эверэст» г. Магілёва»
way,204087275,Дворец искусств,,Дворец искусств
node,10004806190,Дворец творчества детей и молодёжи,,Дворец творчества детей и молодёжи
node,3395087989,Детская музыкальная школа искусств,,Детская музыкальная школа искусств
way,1056708547,Детская хореографическая школа,,Детская хореографическая школа
way,203322101,Детская школа искусств и художественных ремесел г. Горки,,Детская школа искусств и художественных ремесел г. Горки
node,5154918839,Детская школа искусств им. Доморада,,Детская школа искусств им. Доморада
way,242063244,Детская школа исскуств,,Детская школа исскуств
node,8616881552,Детская школа исскуств г.Берёза,,Детская школа исскуств г.Берёза
way,239867107,Детский дом творчества,,Детский дом творчества
node,1572577730,Детский центр творчества,,Детский центр творчества
way,539727144,Добрушский районный центр дополнительного образования,,Добрушский районный центр дополнительного образования
way,338311333,Дом детского творчества,,Дом детского творчества
way,459451776,"Дом культуры ""Красная Буда""",,"Дом культуры ""Красная Буда"""
relation,3281196,Дом культуры текстильщиков,,Дом культуры текстильщиков
node,2194059716,Дом ремесел,,Дом ремесел
way,209173502,Дом ремесел,,Дом ремесел
way,830711054,Заостровечский сельский дом культуры – отделение № 6,,Заостровечский сельский дом культуры – отделение № 6
way,237085514,Ивенецкий центр творчества детей и молодёжи,,Ивенецкий центр творчества детей и молодёжи
way,287270326,Калинковичская детская школа искусств,,Калинковичская детская школа искусств
node,2670089991,Картинная галерея Речицкого краеведческого музея,,Картинная галерея Речицкого краеведческого музея
node,5039487567,Квартирник,,Квартирник
way,58601077,Консерва арт-пространство,,Консерва арт-пространство
node,9229505708,Коровчинский Дом ремёсел,,Коровчинский Дом ремёсел
way,69139155,Красносельский дом культуры,,Красносельский дом культуры
node,7770875965,Крылья,,Крылья
node,7905895375,Курсы рисования ArtClass,,Курсы рисования ArtClass
relation,3733820,Лидский районный Дворец культуры,,Лидский районный Дворец культуры
way,584673072,Лужковская детская школа искусств,,Лужковская детская школа искусств
way,295801799,Макаричский Дом Культуры,,Макаричский Дом Культуры
way,246797476,Мастерская народны ремесел,,Мастерская народны ремесел
way,238986020,Музыкалная школа,,Музыкалная школа
node,9241078175,Новогрудский районный центр творчества детей и молодёжи,,Новогрудский районный центр творчества детей и молодёжи
way,276390721,Паричская детская школа искусств,,Паричская детская школа искусств
way,677875012,Полонковский сельский дом культуры,,Полонковский сельский дом культуры
way,304634545,Порозовский дом культуры,,Порозовский дом культуры
way,239750683,"Развлекательный центр ""Феерия""",,"Развлекательный центр ""Феерия"""
way,686680737,Районный дом ремесел,,Районный дом ремесел
way,157228878,Районный дом ремёсел,,Районный дом ремёсел
way,212750185,Районный центр детско-юношеского творчества,,Районный центр детско-юношеского творчества
node,4456644591,Районный центр детского творчества,,Районный центр детского творчества
node,2061662501,Районный центр технического творчества детей и юношества,,Районный центр технического творчества детей и юношества
way,462062327,СДК,,СДК
way,470352666,СДК,,СДК
way,680329925,СДК,,СДК
way,681142305,СДК,,СДК
way,396653439,"СДК ""Скепня""",,"СДК ""Скепня"""
node,7433033079,Салон-мастерская ремесленника,,Салон-мастерская ремесленника
node,7392411571,Свислочская детская школа искусств,,Свислочская детская школа искусств
node,5267314022,Сморгонский районный центр творчества детей и молодёжи,,Сморгонский районный центр творчества детей и молодёжи
node,5433702634,Столовичский сельский клуб,,Столовичский сельский клуб
node,5851631197,Студия А2,,Студия А2
way,209769639,Сычковский сельский клуб,,Сычковский сельский клуб
node,6745809343,Творчая Прастора,,Творчая Прастора
node,5241781234,Театральная студия,,Театральная студия
node,3205811611,"Учебный центр ""Академия красоты""",,"Учебный центр ""Академия красоты"""
node,5222018394,Филиал Центра творчества детей и молодежи Центрального района,,Филиал Центра творчества детей и молодежи Центрального района
node,10038481595,Фламинго,,Фламинго
node,3848617365,Хобби клуб,,Хобби клуб
node,3100345053,Художественная галерея «Университет культуры»,,Художественная галерея «Университет культуры»
node,2813037569,Художественная школа,,Художественная школа
