osm_type,osm_id,name,name:be,name:ru
node,1755982199,"""КСТМиА"" Колледж современных технологий в машиностроении и автосервисе",,
node,6421725584,Iнтэрнат №2 Магілёўскі дзяржаўны політэхнічны каледж,,
node,6373015378,Інтэрнат №1 Магілёўскі дзяржаўны каледж мастацтваў,,
node,6420969700,Інтэрнат №1 Магілёўскі дзяржаўны політэхнічны каледж,,
node,2116095353,Аграрно-технический лицей,,
way,442194801,БГМТК (ПТУ № 142),,
way,1074438858,Барановичский технологический колледж,,
way,992127136,Березинский аграрно-технический профессиональный лицей,,
node,4350170425,Бобруйский Технологический Коледж,,
way,1007325336,Бобруйский государственный механико-технологический колледж,,
way,904368140,Брестское областное кадетское училище,,
way,564176398,Буда-Кошелевский государственный аграрно-технический колледж,,
way,174632867,Витебское духовное училище,,
way,564195775,Волковысский государственный аграрный колледж,,
node,2058923488,Волковысский государственный строительный лицей,,
way,693047604,Воложинский сельскохозяйственный лицей (ПТУ-208),,
way,377622482,Вороновский ГПТК с/х производства,,
way,564385903,Высоковский государственный сельскохозяйственный профессионально-технический колледж,,
way,768727055,"ГУО «Молодечненский АУК подготовки, повышения квалификации и переподготовки кадров»",,
way,564453986,Глубокский государственный профессиональный лицей,,
way,64719147,Гомельский государственный дорожно-строительный колледж имени Ленинского комсомола Белоруссии,,
way,295051656,Гомельский государственный колледж искусств имени Н.Ф. Соколовского (корпус 2),,
way,64719168,Гомельский государственный медицинский колледж,,
node,8084364119,Гомельский государственный профессионально-технический колледж кулинарии,,
node,5854118585,Гомельский государственный профессионально-технический колледж электротехники,,
way,75664220,Горецкий педагогический колледж,,
way,226853957,ЖГПЛ сферы обслуживания,,
way,70482866,ЖД училище,,
way,294838657,Жлобинский ГПАТК,,
way,177322142,Жлобинский Государственный Металлургический Колледж,,
way,565230990,Жодинский профессиональный лицей,,
way,564898038,Ивацевичский государственный профессиональный лицей сельскохозяйственного производства,,
way,372951582,Климовичский государственный аграрный колледж,,
node,9028016179,Колледж информационно-коммуникационных технологий,,
way,228549587,Колледж лёгкой промышленности,,
way,352228072,Колледж народных художественных промыслов,,
way,288388852,Колледж сельскохозяйственного производства,,
node,5350699853,Колледж современных технологий в машиностроении и автосервисе,,
way,371705584,Колледж №228 химиков,,
way,745659154,Комхоз,,
way,564198971,Копыльский государственный колледж,,
way,669741858,Корпус № 3,,
way,564166213,Костюковичский государственный профессиональный лицей № 8,,
way,564743381,Костюковский государственный аграрно-технический профессиональный лицей,,
way,160095240,Кохановский ГПЛ,,
way,367235161,Кричевский государственный профессиональный агротехнический колледж,,
way,543056555,Лепельский государственный аграрно-технический колледж,,
way,76234145,Лицей 164,,
way,96621654,Лицей Льнокомбината,,
way,459049088,Лицей легкой промышленности,,
way,101369347,Лицей лёгкой промышленности,,
way,212732080,Лицей сельскохозяйственного производства,,
way,306783535,Лицей сельскохозяйственного производства,,
way,137533463,Лицей №17,,
way,564195767,Лоевский государственный педагогический колледж,,
