osm_type,osm_id,name,name:be,name:ru
way,234141625,Барановичский государственный колледж легкой промышленности имени В.Е. Чернышова,Баранавіцкі каледж лёгкай прамысловасці,
way,564385909,Бобруйский государственный колледж имени А.Е.Ларина,Бабруйскі дзяржаўны мастацкі каледж імя А. Я. Ларына,
node,3208636881,Государственное училище олимпийского резерва,Дзяржаўнае вучылішча алімпійскага рэзерву,
way,565086594,Кобринский государственный политехнический колледж,Кобрынскі дзяржаўны політэхнічны каледж,
way,25322124,Минский государственный медицинский колледж,Мінскі дзяржаўны медыцынскі коледж,
node,5403063152,Минский государственный профессионально-технический колледж кулинарии 1к,Мінскі дзяржаўны прафесійна-тэхнічны коледж кулінарыі,
node,604715778,Минский государственный профессионально-технический колледж кулинарии 2к,Мінскі дзяржаўны прафесійна-тэхнічны коледж кулінарыі,
node,5403063153,Минский государственный профессионально-технический колледж кулинарии 3к,Мінскі дзяржаўны прафесійна-тэхнічны коледж кулінарыі,
node,1108850655,Минский торговый колледж Белкоопсоюза,Мінскі гандлёвы каледж Белкаапсаюза,
way,376876079,Несвижский государственный педагогический колледж имени Якуба Коласа,Нясвіжскі дзяржаўны каледж імя Якуба Коласа,
way,62221979,ОГМЭК,АДМЭК,
way,137526769,Торговый колледж потребкооперации,Магілёускі гандлёвы каледж спажывецкай кааперацыі,
