osm_type,osm_id,name,name:be,name:ru
way,322912881,Дзіцячы садок № 1,Дзіцячы садок №1,
way,971316194,Дзіцячы садок № 1,Дзіцячы садок №1,
way,421466116,Дзіцячы садок № 5,Дзіцячы садок №5,
way,1075271402,Яслi-сад № 1,Яслі-сад №1,
way,1076857202,Яслi-сад № 118,Яслi-сад №118,
way,323913180,Ясли-сад № 29,Яслі-сад №29,
way,1093763613,Ясли-сад № 3,Яслі-сад №3,
way,379851525,Ясли-сад № 44,Яслі-сад №44,
way,899293134,Ясли-сад №12,Яслі-сад №12,
way,231162191,Ясли-сад №3,Яслі-сад №3,
way,1078820361,Ясли-сад №32,Яслі-сад №32,
way,1092319246,Ясли-сад №4,Яслі-сад №4,
way,899293135,Ясли-сад №43,Яслі-сад №43,
way,1079403080,Ясли-сад №6,Яслі-сад №6,
way,1007565542,Ясли-сад №7,Яслі-сад №7,
way,231162189,Ясли-сад№25,Яслі-сад №25,
