osm_type,osm_id,name,name:be,name:ru
node,6948202012,"""Art. Sound"" Студия музыкального обучения",,
node,8776460014,Арт-квартал,,
way,239651327,Белоозёрская государственная детская школа искусств,,
way,294408763,Беняконская музыкальная школа,,
way,84188990,Брестский государственный музыкальный колледж имени Григория Ширмы,,
way,203724269,Воропаевская детская школа искусств,,
node,5306279695,ГУК Линовская детская школа искусств,,
way,68578677,ГУО «Светлогорская детская школа искусств»,,
way,150597548,ДШИ №3,,
node,1336555614,Детская музыкальная школа искусств №17,,
way,96198304,Детская школа искусства,,
way,517306845,Жировичская детская школа искусств,,
node,8014096512,Класс компьютерной музыки,,
node,1123434594,Клейниковская ДШИ,,
node,6635209293,Магілёўская дзіцячая школа мастацтваў №5,,
way,629758817,Музычная школа № 4,,
node,10233112398,Музычная школа №19,,
node,10245249753,Не школа барабанов,,
way,1078800026,Оношковская детская школа искусств,,
way,564195766,Ошмянская детская школа искусств,,
way,617199151,Споровская детская школа искусств,,
node,4246507490,Творческая мастерская Хангмелеон,,
node,5906459802,Хомская детская школа искусств,,
way,1053540643,Чернинская детская школа искусств,,
way,240268126,Школа Искусств,,
node,6028042911,Эйсмонтовский филиал Берестовицкой детской школы искусств,,
