osm_type,osm_id,name,name:be,name:ru
node,7178961985,IT-АКАДЕМИЯ IT БАТЯ,,
node,4269723494,Pro-гимназия,,
way,1025386500,Беловежская средняя школа,,
way,764451294,Ботвиновская средняя школа,,
way,1070328192,Воскрессная школа,,
node,9850516044,ГУО «Могилевская городская гимназия № 1»,,
way,349423473,Крушиновская средняя школа,,
node,4209876256,Лагерь актёрского мастерства «Acting Camp»,,
way,1076305444,Межшкольный учебно-производственный комбинат № 2,,
way,1068263684,Мокранская средняя школа,,
way,543756882,Мотыкальская средняя школа,,
way,1068193898,Радваничская средняя школа,,
way,835134181,Ряснянская школа,,
way,1060330813,Солонская Школа,,
way,661446329,Тобульская средняя школа,,
way,823592869,Хальчанская базовая школа,,
