osm_type,osm_id,name,name:be,name:ru
way,764451294,Ботвиновская средняя школа,Батвінаўская сярэдняя школа,
way,361202661,Ведренская детский сад-базовая школа,Ведранская дзіцячы сад-базавая школа,
way,213834795,ГСУСУ «Быховская специализированная детско-юношеская школа олимпийского резерва»,"ДСВСУ ""Быхаўская спецыялізаваная дзіцяча-юнацкая школа алімпійскага рэзерву""",
way,975304246,ГУО Крупская районная гимназия,ДУА Крупская раённая гімназія,
way,568436423,ГУО Учебно-педагогический комплекс Роготновский детский сад-базовая школа,ДУА Вучэбна-педагагічны комплекс Раготнаўскі дзіцячы сад-базавая школа,
way,265611167,Гимназия №3 г. Борисова,Гімназія №3 г. Барысава,
way,349423473,Крушиновская средняя школа,Крушынаўская сярэдняя школа,
way,1060330813,Солонская Школа,Салонская Школа,
way,823592869,Хальчанская базовая школа,Хальчанская базавая школа,
way,1098741498,Школа №35 имени П.И. Батова,Школа №35 імя П.І. Батава,
