osm_type,osm_id,name,name:be,name:ru
node,6033783286,2-й корпус ГГМУ,2-і корпус ГДМУ,
node,6033806209,3-й корпус ГГМУ,3-і корпус ГДМУ,
node,6033810494,4-й корпус ГГМУ,4-ы корпус ГДМУ,
relation,21968,Белорусский государственный медицинский университет,Беларускі дзяржаўны медыцынскі ўніверсітэт,
relation,6793458,Белорусский государственный университет транспорта,Будынак Аляксандраўскай гімназіі,
node,2507019802,Военный факультет БГУ,Ваены факультэт БДУ,
way,44534230,"ГГУ им. Ф. Скорины, Корпус № 2","ГДУ імя Ф. Скарыны, Корпус № 2",
way,44534231,"ГГУ им. Ф. Скорины, Корпус № 3","ГДУ імя Ф. Скарыны, Корпус № 3",
way,44534233,"ГГУ им. Ф. Скорины, Корпус №1","ГДУ імя Ф. Скарыны, Корпус № 1",
way,44534225,"ГГУ им. Ф. Скорины, Корпус №4 (главный)","ГДУ імя Ф. Скарыны, Корпус № 4 (галоўны)",
way,44534226,"ГГУ им. Ф. Скорины, Корпус №5","ГДУ імя Ф. Скарыны, Корпус № 5",
node,3046807184,Институт бизнеса БГУ,Інстытут бізнесу БДУ,
node,3803062424,Институт бизнеса БГУ,Інстытут бізнесу БДУ,
way,25388368,Институт бизнеса БГУ,Інстытут бізнэсу БДУ,
node,670217412,Институт бизнеса и менеджмента технологий БГУ,Інстытут бізнэсу і мэнэджменту тэхналогій БДУ,
node,4510382719,Институт госслужбы при академии управления,Інстытут дзяржслужбы пры Акадэміі кіравання,
node,6260359332,Институт теологии имени святых Мефодия и Кирилла БГУ,Інстытут тэалогіі імя святых Мяфодзія і Кірыла БДУ,
node,2919856649,Исторический факультет БГПУ,Гістарычны факультэт БДПУ,
node,281570431,НИИ ФХП БГУ,НДІ ФХП БДУ,
node,9955309655,Полесский государственный университет корпус №2,Палескі Дзяржаўны Ўніверсітэт,
way,199808420,Учебный корпус №4,Вучэбны корпус №4,
relation,27606,Факультет радиофизики и компьютерных технологий БГУ,Факультэт радыёфізікі і камп’ютарных тэхналогій БДУ,
node,670217411,Центр информационных ресурсов и коммуникаций БГУ,Цэнтр інфармацыйных рэсурсаў і камунікацый БДУ,
