osm_type,osm_id,name,name:be,name:ru
way,1095180715,"Агробиологическая станция ""Улановичи""",,"Агробиологическая станция ""Улановичи"""
way,1095180716,"Агробиологическая станция ""Улановичи""",,"Агробиологическая станция ""Улановичи"""
way,169531389,Белорусская государственная сельскохозяйственная академия,,Белорусская государственная сельскохозяйственная академия
node,4418659795,"ГИПК ""Газ-институт""",,"ГИПК ""Газ-институт"""
node,1425853097,Минский филиал МЭСИ,,Минский филиал МЭСИ
way,25326259,Минский филиал МЭСИ,,Минский филиал МЭСИ
way,1017573562,"Учебно-биологическая база ""Любуж""",,"Учебно-биологическая база ""Любуж"""
way,25322062,"Филиал БНТУ Опытный завод ""Политехник""",,"Филиал БНТУ Опытный завод ""Политехник"""
way,25327628,Филологический и экономический факультеты БГУ,,Филологический и экономический факультеты БГУ
way,25320304,Частный Институт Управления и Предпринимательства,,Частный Институт Управления и Предпринимательства
