osm_type,osm_id,name,name:be,name:ru
way,58603645,Общежитие Брестского государственного колледжа железнодорожного транспорта БЖД,,
way,71196654,Общежитие ГСУСУ Брестский областной комплексный центр олимпийского резерва,,
way,84186601,"Общежитие ОАО «Брестский мясокомбинат»,",,
way,76073474,Общежитие ОАО «Савушкин Продукт»,,
way,61194647,Общежитие № 10 КУП ЖРЭУ,,
way,76073448,Общежитие № 13 КУП ЖРЭУ,,
way,84188401,Общежитие № 19 КУП ЖРЭУ,,
way,86983951,Общежитие № 21 КУП «ЖРЭУ»,,
way,87608395,Общежитие № 22 КУП «ЖРЭУ»,,
way,81989271,Общежитие № 40 КУП «ЖРЭУ»,,
way,1181939657,"Общежитие №11 ""Жилздрав""",,
way,76073684,Общежитие №2 КУП ЖРЭУ г. Бреста,,
