osm_type,osm_id,name,name:be,name:ru
way,204213586,"ГУО ""Ясли-сад № 45""","ДУА ""Яслі-сад №45""",
way,1056869315,ГУО Ясли-сад № 41,"ДУА ""Яслі-сад №41""",
way,294293652,ГУО Ясли-сад № 56,"ДУА ""Яслі-сад №56""",
way,35815369,Д/сад №1,Дзiцячы сад №1,
way,213059828,Дет Сад 1,Дзiцячы сад 1,
way,205601216,Дет.сад № 20,Дзiцячы сад №20,
way,205443224,Дет.сад № 46,Дзiцячы сад №46,
way,222318579,Детские ясли-сад,Дзіцячыя яслі-сад,
way,284209021,Детский сад - Начальная школа,Дзіцячы сад - пачатковая школа,
way,260876488,Колосок.,Каласок,
way,278367796,Сад № 1,Дзiцячы сад №1,
way,209183230,Сад № 11,Дзiцячы сад №11,
way,274921981,Сад № 13,Дзiцячы сад №13,
way,278374350,Сад № 2,Дзiцячы сад №2,
way,209223804,Сад № 4,Дзiцячы сад №4,
way,260432177,Сад № 4,Дзiцячы сад №4,
way,260907962,Сад № 5,Дзiцячы сад №5,
way,263637642,Сад № 6,Дзiцячы сад №6,
way,209250420,Сад № 7,Дзiцячы сад №7,
way,209250423,Сад № 8,Дзiцячы сад №8,
way,166328084,Сад-Ясли,Яслі-сад,
way,260876489,Солнышко.,Сонейка,
way,280431326,Ясли-Сад №13,Яслі-сад №13,
way,168539532,Ясли-Сад №19,Яслі-сад №19,
way,298774000,Ясли-сад № 15,Яслі-сад №15,
way,38108457,Ясли-сад № 151,Яслі-сад №151,
way,226849190,Ясли-сад № 19,Яслі-сад №19,
way,137898131,Ясли-сад № 23,Яслі-сад №23,
way,131756679,Ясли-сад № 34,Яслі-сад №34,
way,150597161,Ясли-сад № 40,Яслі-сад №40,
way,459239575,Ясли-сад №104,Яслі-сад №104,
way,326071449,Ясли-сад №106,Яслі-сад №106,
way,404197185,Ясли-сад №127,Яслі-сад №127,
way,49482455,Ясли-сад №161,Яслі-сад №161,
way,101351906,Ясли-сад №17,Яслі-сад №17,
way,137533800,Ясли-сад №2,Яслі-сад №2,
way,158686241,Ясли-сад №2,Яслі-сад №2,
way,111136561,Ясли-сад №20,Яслі-сад №20,
way,286389549,Ясли-сад №20,Яслі-сад №20,
way,95577471,Ясли-сад №30,Яслі-сад №30,
way,137533799,Ясли-сад №5,Яслі-сад №5,
way,137533143,Ясли-сад №7,Яслі-сад №7,
way,235586966,Ясли-сад №88,Яслі-сад №88,
way,25321764,д/с №407,Дзiцячы сад №407,
way,25321770,д/с №410,Дзiцячы сад №410,
way,25394068,д/с №517,Дзiцячы сад №517,
