osm_type,osm_id,name,name:be,name:ru
way,212229990,"ГУО ""Дошкольный центр развития ребенка""",,"ГУО ""Дошкольный центр развития ребенка"""
way,156423269,"ГУО ""Ясли-сад №6 г. Лепеля""",,"ГУО ""Ясли-сад №6 г. Лепеля"""
way,368136897,Германовичский ясли-сад,,Германовичский ясли-сад
way,207694931,"Детский сад ""Радуга""",,"Детский сад ""Радуга"""
way,276274579,Дошкольный центр развития ребенка,,Дошкольный центр развития ребенка
way,278374353,Дошкольный центр развития ребенка,,Дошкольный центр развития ребенка
way,236680710,Коровчинский сад-ясли «Теремок»,,Коровчинский сад-ясли «Теремок»
relation,3399183,Кохановский ясли - сад №1,,Кохановский ясли - сад №1
way,385696006,Малечский ясли-сад,,Малечский ясли-сад
way,204087274,"Отдел образования, спорта и туризма администрации Первомайского района г. Бобруйска",,"Отдел образования, спорта и туризма администрации Первомайского района г. Бобруйска"
way,378316430,Узмёнский детский сад,,Узмёнский детский сад
way,174394392,Ясли-сад 31 г. Бобруйска,,Ясли-сад 31 г. Бобруйска
way,174394391,Ясли-сад 52 г. Бобруйска,,Ясли-сад 52 г. Бобруйска
way,668507097,Ясли-сад №1 Золотой петушок,,Ясли-сад №1 Золотой петушок
way,203588284,"Ясли-сад №3 ""Ёлочка""",,"Ясли-сад №3 ""Ёлочка"""
way,131321626,Ясли-сад №74 «Капелька»,,Ясли-сад №74 «Капелька»
way,136655025,Ясли-сад № 7 «Берёзка»,,Ясли-сад № 7 «Берёзка»
