osm_type,osm_id,name,name:be,name:ru
way,453815649,«Гомельский городской центр дополнительного образования детей и молодёжи».,"""Гомельскі гарадскі цэнтр дадатковай адукацыі дзяцей і моладзі"".",
way,326704306,Антоновская средняя школа,Антонаўская сярэдняя школа,
way,321097819,Бабуничская средняя школа,Бабуніцкая сярэдняя школа,
way,311071549,Базовая школа-сад,Базавая школа-сад,
way,377439968,Бакштовский детский сад - средняя школа,Бакштаўскі дзіцячы сад - сярэдняя школа,
way,363355699,Бацевичская СШ,Бацэвіцкая СШ,
way,152945220,Берёзковская детский сад – базовая школа Докшицкого района,Бярозкаўская дзіцячы сад - базавая школа Докшыцкага раёна,
way,229796029,Бобровичский детский сад-средняя школа,Бабровіцкі дзіцячы сад-сярэдняя школа,
way,205178940,Бобруйская государственная школа-интернат для детей с нарушением слуха,Бабруйская дзяржаўная школа-інтэрнат для дзяцей з парушэннем слыху,
way,289498543,Болотнянская средняя школа,Балатнянская сярэдняя школа,
relation,5556669,Большемалешевская средняя школа,Вялікамалешаўская сярэдняя школа,
way,366021367,Боровиковская средняя школа,Баравікоўская сярэдняя школа,
relation,5587474,Боровлянская средняя школа,Бараўлянская сярэдняя школа,
way,175621507,Боровлянская средняя школа №2,Бараўлянская сярэдняя школа №2,
way,479771231,Боровская средняя школа,Бароўская сярэдняя школа,
way,323204527,Борщевская средняя школа,Баршчэўская сярэдняя школа,
relation,5475252,Бронненская средняя школа,Броненская сярэдняя школа,
way,51519093,Буцевичский учебно-педагогический комплекс детский сад - средняя школа,Буцэвіцкі навучальна-педагагічны комплекс дзіцячы сад - сярэдняя школа,
way,287216849,Быстрицкая школа,Быстрыцкая школа,
way,205584035,Васьковичская средняя школа,Васьковіцкая сярэдняя школа,
way,333226679,Ведричская средняя школа,Вядрыцкая сярэдняя школа,
way,322190296,Великоавтюковская детский сад-базовая школа,Вялікааўцюкоўская дзіцячы сад-базавая школа,
way,366470692,Великоборский детский-сад средняя школа имени Б.И.Саченко,Вялікаборскі дзіцячы-сад сярэдняя школа імя Б.І.Сачанкі,
way,274532724,Ворнянский-ясли-сад средняя школа,Варнянскі-яслі-сад сярэдняя школа,
relation,3292290,Вороновская средняя школа,Воранаўская сярэдняя школа,
way,102027514,Воскресная школа Симеон,Нядзельная школа Сімяон,
way,175359673,Вспомогательная школа,Дапаможная школа,
way,344947099,Вязынская детский сад- средняя школа,Вязынская дзіцячы сад - сярэдняя школа,
way,344947100,Вязынский учебно-педагогический комплекс детский сад - средняя школа,Вязынскі вучэбна-педагагічны комплекс дзіцячы сад - сярэдняя школа,
way,200603086,"ГУ ""Плещеницкая средняя школа №2""","ДУ ""Плешчаніцкая сярэдняя школа №2""",
way,657075696,"ГУО ""Ананчицкий учебно-педагогический комплекс детский сад - базовая школа Солигорского района""","ДУА ""Ананчыцкі вучэбна-педагагічны комплекс дзіцячы сад - базавая школа Салігорскага раёна""",
way,260880855,"ГУО ""Великонемковский детский сад - средняя школа""","ДУА ""Вяліканямкоўскі дзіцячы сад - сярэдняя школа""",
relation,2016022,"ГУО ""Гимназия №56 г.Минска""","ДУА ""Гімназія №56 г.Мінска""",
way,621413898,"ГУО ""Голубовская базовая школа""","ДУА ""Голубаўская базавая школа""",
way,346833606,"ГУО ""Гомельский областной центр туризма и краеведения детей и молодежи""","ДУА ""Гомельскі абласны цэнтр турызму і краязнаўства дзяцей і моладзі""",
way,309365961,"ГУО ""Жупранская средняя школа имени Ф.К. Богушевича""","ДУА ""Жупранская сярэдняя школа імя Ф.К. Багушэвіча""",
way,238296316,"ГУО ""Калинковичская детская музыкальная школа искусств""","ДУА ""Калінкавіцкая дзіцячая музычная школа мастацтваў""",
way,162569979,"ГУО ""Лебедевская средняя школа Молодечненского района""","ДУА ""Лебедзеўская сярэдняя школа Маладзечанскага раёна""",
way,247791405,"ГУО ""Лучниковская средняя школа""","ДУА ""Лучнікаўская сярэдняя школа""",
way,437067510,"ГУО ""Мозырский центр туризма и краеведения детей и молодежи""","ДУА ""Мазырскі цэнтр турызму і краязнаўства дзяцей і моладзі""",
way,378270485,"ГУО ""Молчадская санаторная школа-интернат""","ДУА ""Маўчадская санаторная школа-інтэрнат""",
way,286247417,"ГУО ""Нивская средняя школа""","ДУА ""Ніўская сярэдняя школа""",
way,201124558,"ГУО ""Полочанская средняя школа Молодечненского района""","ДУА ""Палачанская сярэдняя школа Маладзечанскага раёна""",
way,181072623,"ГУО ""Ратомская ОСШ""","ДУА ""Ратамская АСШ""",
