osm_type,osm_id,name,name:be,name:ru
way,35996177,4 корпус БГМУ,4 корпус БДМУ,
way,25388719,Академия управления при Президенте Республики Беларусь,Акадэмія кіравання пры Прэзідэнце Рэспублікі Беларусь,
way,27904302,Анатомический корп.,Анатамічны корп.,
way,25327711,БГТУ,БДТУ,
way,25386710,БГТУ,БДТУ,
relation,21968,Белорусский государственный медицинский университет,Беларускі дзяржаўны медыцынскі ўніверсітэт,
relation,6793458,Белорусский государственный университет транспорта,Будынак Аляксандраўскай гімназіі,
way,27904214,Главный корпус Вет. Академии,Галоўны корпус Вет. Акадэміі,
way,25388716,"Государственное учреждение образования ""Республиканский институт высшей школы""","Дзяржаўная ўстанова адукацыі ""Рэспубліканскі інстытут вышэйшай школы """,
way,300601590,Институт бизнеса БГУ,Інстытут бізнесу БДУ,
way,102311129,Институт защиты растений НАН Беларуси,Інстытут аховы раслін,
way,27903317,Клиника,Клініка,
way,244960692,Учебно-лабораторный корпус,Навучальна-лаб. корп.,
way,25389335,Факультет журналистики БГУ,Факультэт журналістыкі БДУ,
way,27904328,Хирургический корп.,Хірургічны корп.,
way,31610330,Хоз. сарай,Гаспадарчы хлеў,
way,118960001,Хоз. сарай,Гаспадарчы хлеў,
way,51182169,"Ясли-сад №4 ""Золотой ключик""","Яслі-сад №4 ""Залаты ключык""",
