osm_type,osm_id,name,name:be,name:ru
way,224334200,Автодром автошколы СтройВертикальИнвест,,Автодром автошколы СтройВертикальИнвест
way,169531389,Белорусская государственная сельскохозяйственная академия,,Белорусская государственная сельскохозяйственная академия
way,379355300,"ГУО ""Социально-педагогический центр с приютом Ленинского района г.Минска""",,"ГУО ""Социально-педагогический центр с приютом Ленинского района г.Минска"""
way,335594236,"Детский сад №100 ""Академия детства""",,"Детский сад №100 ""Академия детства"""
way,728055857,"Детский сад №30 ""Под парусами детства""",,"Детский сад №30 ""Под парусами детства"""
way,724407688,Над радугой,,Над радугой
way,283082048,"Ясли-сад №192 ""Первые шаги""",,"Ясли-сад №192 ""Первые шаги"""
way,147508847,"Ясли-сад №211 ""Цветочная поляна""",,"Ясли-сад №211 ""Цветочная поляна"""
way,184273632,"Ясли-сад №250 ""Кроха""",,"Ясли-сад №250 ""Кроха"""
way,445913284,"Ясли-сад №370 ""Семицветик""",,"Ясли-сад №370 ""Семицветик"""
way,356325817,"Ясли-сад №39 ""Кораблик детства""",,"Ясли-сад №39 ""Кораблик детства"""
way,484818523,"Ясли-сад №44 ""Волшебная страна""",,"Ясли-сад №44 ""Волшебная страна"""
way,374416739,Ясли-сад №64 горизонт,,Ясли-сад №64 горизонт
way,586515072,Ясли-сад № 385 «Солнышко в ладошках»,,Ясли-сад № 385 «Солнышко в ладошках»
