osm_type,osm_id,name,name:be,name:ru
node,11968990063,22 мастерская,,
node,11928584881,Берёзовичский сельскй Дома культуры,,
node,12343767660,Бизнес-центр «Авиатор»,,
node,12365710904,Булавкинский сельский дом культуры,,
way,839010774,Гатовщинская сельская библиотека-клуб,,
node,12148042412,Городищенский сельский Дом культуры,,
node,3946403674,Гортольский клуб,,
way,370411908,Дом Культуры,,
way,695026735,Дом Культуры,,
way,767958616,Дом Культуры,,
node,5640147961,Дом культуры,,
node,12390444201,Дом культуры,,
way,211858578,Дом культуры Цементник,,
node,11778375578,Домашицкий сельский дом культуры,,
way,291729245,Дричинский сельский дом культуры,,
node,12189543778,Загорский сельский Дом культуры,,
node,11817886369,Зареченский сельский клуб,,
node,12033020504,Клуб,,
way,247790031,Клуб,,
way,343874779,Клуб,,
way,584243967,Клуб,,
way,1277934934,Клуб,,
node,12202058877,Ковердякский сельский дом культуры,,
node,11805578377,Купятичский сельский дом культуры,,
node,12505288366,Лекторий Твоя история,,
way,1198049332,Молодежный центр,,
way,667963749,Новгородский сельский Дом культуры,,
node,11838287989,Оснежицкий районный центр культуры и досуга,,
node,5592798736,Оховский центральный сельский Дом культуры,,
node,11832648872,Пинковичский сельский дом культуры,,
way,844028158,Прошковский сельский дом культуры,,
way,64749298,"РЦ ""Континент""",,
node,11774315077,Робовита,,
way,676220535,Сельский дом культуры,,
node,12290485147,Сельский дом культуры аг. Лопатино,,
way,695601375,Сельский клуб,,
way,898500279,Сельский клуб,,
way,1246438213,Сельский клуб,,
node,11510738600,Сельский центр культуры и досуга аг. Новый Двор,,
node,12390922057,Ставокский сельский дом культуры,,
node,11937905657,Турбаза «Костовье»,,
way,751978658,Центр культуры,,
node,11778375414,Центральный сельский дом культуры аг. Молотковичи,,
way,233714493,клуб,,
way,770041650,клуб,,
node,11395035641,офисный центр «Tower»,,
