osm_type,osm_id,name,name:be,name:ru
way,242259412,"БДПО ""Мозырский комбинат противопожарных работ""",,"БДПО ""Мозырский комбинат противопожарных работ"""
node,4112397093,Белорусское добровольное пожарное общество,,Белорусское добровольное пожарное общество
node,4931576921,Волковысский районный отдел по чрезвычайным ситуациям,,Волковысский районный отдел по чрезвычайным ситуациям
way,224057061,Комбинат противопожарных работ,,Комбинат противопожарных работ
node,4731214523,Наровлянский РОЧС,,Наровлянский РОЧС
node,4838949521,Наровлянский РОЧС,,Наровлянский РОЧС
way,86765463,Областное управление МЧС,,Областное управление МЧС
node,5017976722,ПАСП 12 Толочинский РОЧС,,ПАСП 12 Толочинский РОЧС
node,1539271129,ПАСЧ #4,,ПАСЧ #4
node,4459559589,ПАСЧ №1 ПАСО-1,,ПАСЧ №1 ПАСО-1
node,4122607490,ПАСЧ-5 Могилевского РОЧС,,ПАСЧ-5 Могилевского РОЧС
node,275211253,Пожарная Часть,,Пожарная Часть
node,882643593,Пожарная Часть,,Пожарная Часть
way,208674597,Пожарная аварийно-спасательная служба,,Пожарная аварийно-спасательная служба
node,4929585121,Пожарная аварийно-спасательная часть 1,,Пожарная аварийно-спасательная часть 1
way,205178911,Пожарная аварийно-спасательная часть 1,,Пожарная аварийно-спасательная часть 1
node,3109233637,Пожарная аварийно-спасательная часть 4,,Пожарная аварийно-спасательная часть 4
node,5651713502,Пожарная аварийно-спасательная часть №1,,Пожарная аварийно-спасательная часть №1
way,915036948,Пожарная аварийно-спасательная часть №1,,Пожарная аварийно-спасательная часть №1
way,301999196,Пожарно-аварийно-спасательный пост 18,,Пожарно-аварийно-спасательный пост 18
way,177996153,Пожарный аварийно-спасательный пост,,Пожарный аварийно-спасательный пост
node,6086577787,Пожарный аварийно-спасательный пост №12,,Пожарный аварийно-спасательный пост №12
way,251287503,Пожарный аварийно-спасательный пост №12,,Пожарный аварийно-спасательный пост №12
node,6827927785,Пожарный поезд,,Пожарный поезд
node,1195122597,РОЧС,,РОЧС
node,4649235791,РОЧС,,РОЧС
way,99004530,РОЧС,,РОЧС
way,152255582,РОЧС,,РОЧС
way,169556689,РОЧС,,РОЧС
way,204239005,РОЧС,,РОЧС
way,210203118,РОЧС,,РОЧС
way,253328195,РОЧС,,РОЧС
way,280691579,РОЧС,,РОЧС
way,545107893,РОЧС,,РОЧС
way,787259685,РОЧС,,РОЧС
node,4891524696,Центр безопасности МЧС,,Центр безопасности МЧС
way,208415719,Чериковский районный отдел по чрезвычайным ситуациям,,Чериковский районный отдел по чрезвычайным ситуациям
