osm_type,osm_id,name,name:be,name:ru
node,306062982,Архив Загс,,Архив Загс
node,4513379190,Библиотека #46 г.Волковыска,,Библиотека #46 г.Волковыска
node,4865147051,Библиотека Крынковского агрогородка,,Библиотека Крынковского агрогородка
node,8512009260,Библиотека Тодора Кляшторного,,Библиотека Тодора Кляшторного
node,3179457617,Библиотека им. Лермонтова,,Библиотека им. Лермонтова
node,4888610873,Библиотека иностранной литературы,,Библиотека иностранной литературы
node,4465366989,Городская Библиотека,,Городская Библиотека
node,1282245402,Городская библиотека,,Городская библиотека
node,3085094371,Городская библиотека,,Городская библиотека
node,4368358206,Городская библиотека,,Городская библиотека
node,6741802964,Городская библиотека,,Городская библиотека
node,6982156196,Городская библиотека,,Городская библиотека
way,159797062,Городская библиотека,,Городская библиотека
way,209139229,Городская библиотека,,Городская библиотека
way,436863513,Городская библиотека,,Городская библиотека
way,516343799,Городская библиотека,,Городская библиотека
node,306063515,Детская Библиотека,,Детская Библиотека
node,6979416943,Детская Библиотека,,Детская Библиотека
node,4391215792,Жуховичская библиотека,,Жуховичская библиотека
node,9368562943,Завершская сельская библиотека,,Завершская сельская библиотека
node,4758722149,Зароновская библиотека,,Зароновская библиотека
way,97726546,Районная библиотека,,Районная библиотека
way,159172038,Районная библиотека,,Районная библиотека
way,428104813,Районная библиотека,,Районная библиотека
node,4549211991,Слободская библиотека,,Слободская библиотека
node,4713862889,Старобинская библиотека,,Старобинская библиотека
node,4624833593,Филиал Войтковичская сельская библиотека,,Филиал Войтковичская сельская библиотека
node,320409458,Филиал № 4,,Филиал № 4
way,97698981,Центральная библиотека имени Якуба Коласа,,Центральная библиотека имени Якуба Коласа
way,209033190,Цетральная детская библиотека,,Цетральная детская библиотека
node,4556764289,Яновическая библиотека,,Яновическая библиотека
node,8113137051,библиотека,,библиотека
way,209769521,библиотека,,библиотека
way,239191844,библиотека,,библиотека
way,240768458,библиотека,,библиотека
way,263171442,библиотека,,библиотека
way,272993170,библиотека,,библиотека
way,273432376,библиотека,,библиотека
node,4935837921,им. Янки Купалы,,им. Янки Купалы
node,4420064291,морочково клуб-библиотека,,морочково клуб-библиотека
