osm_type,osm_id,name,name:be,name:ru
node,10836812832,Западный общественный пункт охраны правопорядка,,
node,11465286736,Инспекция по делам несовершеннолетних Пинского ГОВД,,
way,89045776,Музей брестской милиции,,
node,11928584887,Общественный пункт охраны правопорядка Берёзовичского сельисполкома,,
node,11710802999,Общественный пункт охраны правопорядка Дубойского сельисполкома,,
node,11778375425,Общественный пункт охраны правопорядка Молотковичского сельисполкома,,
node,11928764033,Общественный пункт охраны правопорядка Оховского сельисполкома,,
node,11805456706,Общественный пункт охраны правопорядка Пинковичского сельисполкома,,
node,11465286735,Отдел по наркоконтролю и противодействию торговле людьми Пинского ГОВД,,
node,9951325019,Пинский городской отдел внутренних дел,,
node,11465286737,Центральный общественный пункт охраны правопорядка,,
