osm_type,osm_id,name,name:be,name:ru
way,236680268,ГАИ,ДАІ,МРЭО ГАИ
way,461382466,ГАИ,Міліцыя,Милиция
way,41363125,ГРОВД,ГРАУС,РОВД
node,5233292873,Городской отдел милиции №2,Пастарунак-109,ОПОП-109
node,4574919790,ДФиТ МВД РБ,ДФіТ МУС РБ,ДТиФ МВД РБ
way,25320914,Департамент охраны МВД РБ Заводской отдел (г.Минска),Дэпартамент аховы МУС РБ Завадскі аддзел (г.Мінска),Заводской отдел (г.Минска) Департамента охраны МВД Республики Беларусь
way,109200651,Департамет охраны МВД РБ,Дэпартамет аховы МУС РБ,Молодечненский отдел Департамента охраны МВД РБ
node,2666641222,Докшицкий ОВД,Аддзел унутранных спраў,Отдел внутренних дел
node,4374291892,Изолятор временного содержания,Ізалятар часовага ўтрымання,КПЗ
way,183862196,КГБ Пружанского района,Камітэт дзяржаўнай бяспекі (КДБ) Пружанскага раёна,Комитет государственной безопасности (КГБ) Пружанского района
node,713173013,МРЭО ГАИ Светлогорского РОВД,ДАІ,ГАИ
node,7701805886,Милиция. Участковые.,Міліцыя. Участковыя.,Милиция. Участковые. ОПОП 121
node,1730406892,ОВД администрации Ленинского района г. Бреста,АУС адміністрацыі Ленінскага раёна г. Брэста,ОВД Ленинского района г. Бреста
node,305676427,ОПОП-151,Пастарунак-110,ОПОП-110
node,305681603,ОПОП-50,ГПАП-50,Государственный комитет судебных экспертиз Республики Беларусь
node,305685338,ОПОП-66/67,АПАП-66/67,ОПОП-66
way,25320116,РУВД Заводского района,Заводскае РУУС г.Мінска,Заводское РУВД г.Минска
way,25322468,РУВД Первомайского района,Першамайскае РУУС г.Мінска,Первомайское РУВД г.Минска
way,25388183,РУВД Центрального района,Цэнтральнае РУУС г.Мінска,Центральное РУВД г.Минска
