osm_type,osm_id,name,name:be,name:ru
node,6708171688,Белпочта,,
way,1132544244,Белпочта,,
way,1254384696,Белпочта 225926,,
node,1772628418,Белпошта,,
node,3154464260,Белпошта,,
node,4624301890,Белпошта,,
node,10603580463,Белпошта,,
node,11531444797,Белпошта,,
way,204201215,Белпошта,,
way,634691514,Белпошта,,
node,12211650841,ОПС 222040,,
node,12189539982,ОПС Молотковичи,,
node,12149356610,ОПС Новый Двор 225738,,
way,762541836,ОПС Черняны,,
node,12135914563,Остановка передвижного отделения в н. п. Лосичи,,
node,12135914568,Остановка передвижного отделения в н. п. Стытычево,,
node,10031833280,Пинск-10,,
node,11710512581,Пинск-7,,
node,11465477063,Пинский районный узел почтовой связи,,
node,11218238656,Пункт выдачи Вайлдериз,,
node,11264834279,Пункт почтовой связи Autolight Express,,
node,1099981651,Хатежино 223039,,
node,11935678957,белпочта,,
node,11407658813,белпошта,,
