osm_type,osm_id,name,name:be,name:ru
node,4483605372,Белпочта №63,Белпошта,
node,4948850042,"Белпочта, Логойск-1","Белпошта, Лагойск-1",
node,305682013,Белпочта-28,Белпошта-28,
way,113290076,Бепошта,Белпошта,
node,281243405,Минск-89,Мінск-89,
node,5608791326,Минск-95,Белпошта,
node,3605141280,Могилёв 212011,Магілёў 212011,
node,1596244632,ОПС-4,Паштовае аддзяленне,
way,236634663,ОС Раковичи Белпошта,АС Ракавічы Белпошта,
node,1382930393,Оршанский РУПС,Аршанскі РВПС,
node,305674537,Отделение почтовой связи №134,Белпошта,
node,305674352,Отделение почтовой связи №136,Белпошта,
node,305674350,Отделение почтовой связи №140,Аддзяленне паштовай сувязі №140,
node,1482247059,Пинск-8,Пінск-8,
node,765033174,Почта 222412,Пошта,
node,5230079056,Почта 225039,Пошта 225039,
node,3032495397,Почтовое отделение 117,Паштовае аддзяленне,
node,305678357,Почтовое отделение 65,Паштовае аддзяленне 65,
node,4984344231,"РУП ""Белпочта-111""",Паштовае аддзяленне 111,
node,5075888822,РУП Белпочта,РУП Белпошта,
way,549311098,РУП Белпочта,РУП Белпошта,
way,77765986,Узел почтовой связи,Чашніцкі раённы вузел паштовай сувязі,
node,502702237,Центральное отделение связи,Цэнтральнае аддзяленне сувязі,
