osm_type,osm_id,name,name:be,name:ru
node,3865529117,Белпочта 223709,,Белпочта 223709
node,4670359291,Бизнес-почта,,Бизнес-почта
node,6698957934,ГлоБел 24,,ГлоБел 24
node,6994554381,ГлоБел 24,,ГлоБел 24
node,6994612685,ГлоБел 24,,ГлоБел 24
node,6994632361,ГлоБел 24,,ГлоБел 24
node,4872695621,"Гнездиловское ""Почтовое Отделение""",,"Гнездиловское ""Почтовое Отделение"""
node,4317607437,Европочта,,Европочта
node,6547224045,Европочта,,Европочта
node,6547224059,Европочта,,Европочта
node,7655088186,Европочта,,Европочта
node,7868155858,Европочта,,Европочта
node,8374799874,Европочта,,Европочта
node,8556335846,Европочта,,Европочта
node,8556335853,Европочта,,Европочта
node,8556335863,Европочта,,Европочта
node,8556335869,Европочта,,Европочта
node,8556335878,Европочта,,Европочта
node,8693430189,Европочта,,Европочта
node,8749183123,Европочта,,Европочта
node,8749183133,Европочта,,Европочта
node,8788292097,Европочта,,Европочта
node,8841810680,Европочта,,Европочта
node,9010045222,Европочта,,Европочта
node,4933375828,ОПС Вировля,,ОПС Вировля
node,3738930654,ОПС Витебск-36,,ОПС Витебск-36
node,4865146923,ОПС Высочаны,,ОПС Высочаны
way,348205504,ОПС Митьковщина,,ОПС Митьковщина
node,1868776719,ОПС Щучин 1,,ОПС Щучин 1
way,190942329,ОПС Яновичи,,ОПС Яновичи
node,4370909611,ОПС-10,,ОПС-10
node,4182757713,ОПС-5,,ОПС-5
node,4040019321,Отдел доставки,,Отдел доставки
node,6316768175,Отдел доставки,,Отдел доставки
node,2455761986,Отделение Почтовой Связи № 44,,Отделение Почтовой Связи № 44
node,3852419463,Отделение почты,,Отделение почты
node,4410169846,Отделение почты,,Отделение почты
node,4966867021,Отделение почты,,Отделение почты
way,256700867,Отделение почты,,Отделение почты
way,258730755,Отделение почты,,Отделение почты
node,3127511608,Почта 246045,,Почта 246045
node,4368911790,Почта №8,,Почта №8
node,1424153536,Почтовое отделение,,Почтовое отделение
node,1810133028,Почтовое отделение,,Почтовое отделение
node,2326947677,Почтовое отделение,,Почтовое отделение
node,4553968408,Почтовое отделение,,Почтовое отделение
node,4572033102,Почтовое отделение,,Почтовое отделение
node,4778168445,Почтовое отделение,,Почтовое отделение
node,5722049311,Почтовое отделение,,Почтовое отделение
node,6665268685,Почтовое отделение,,Почтовое отделение
way,207313708,Почтовое отделение,,Почтовое отделение
way,245534014,Почтовое отделение,,Почтовое отделение
way,295785405,Почтовое отделение,,Почтовое отделение
way,493126508,Почтовое отделение,,Почтовое отделение
node,4855866525,Почтовое отделение 52,,Почтовое отделение 52
node,4892604121,Почтовое отделение 9,,Почтовое отделение 9
node,2194038887,Почтовое отделение ГОПС-5,,Почтовое отделение ГОПС-5
node,3622972213,Приём и выдача почтовых отправлений,,Приём и выдача почтовых отправлений
node,5398652605,"РУП ""Белтелеком""",,"РУП ""Белтелеком"""
node,306064384,Речицкий РУПС,,Речицкий РУПС
node,5790140154,СДЭК,,СДЭК
node,7176598648,СДЭК,,СДЭК
node,8579201560,СДЭК,,СДЭК
node,8841810682,СДЭК,,СДЭК
node,8841810683,СДЭК,,СДЭК
node,8841830555,СДЭК,,СДЭК
node,8841830556,СДЭК,,СДЭК
way,417701707,СДЭК,,СДЭК
node,8395097117,Сдэк,,Сдэк
way,694763822,Щерчовский сельисполком,,Щерчовский сельисполком
node,6666322203,почта,,почта
