osm_type,osm_id,name,name:be,name:ru
node,6088112185,SPA-комплекс,,
node,6885698093,БАНЯ,,
way,205469918,БАНЯ,,
node,5240784769,Банно-оздоровительный комплекс «Малиновка»,,
way,230963430,Банно-прачечный комплекс,,
way,648424616,"Баня ГК ""Сергуч""",,
way,1102186254,Баня ТБЗ,,
way,86759815,Баня № 4,,
node,6718387788,Баня №5,,
node,7506794954,Глушанская баня,,
way,239849953,Городская Баня,,
node,4849776813,Душ,,
way,1088252334,Лазня,,
way,86756107,Лазня на Лупалава,,
way,995007719,Русская баня,,
node,6466793570,Турыстычная баня,,
node,5600190035,Фонтан-купель,,
way,211910959,городская баня,,
node,4743665005,у Саныча,,
