osm_type,osm_id,name,name:be,name:ru
way,48185708,Акінчыцкае лясніцтва,,
way,677884459,Березовское лесничество,,
way,155762060,Браславское лесничество,,
way,510525846,Буденовское лесничество,,
way,601114010,Вендорожское лесничество,,
way,210193083,Вепринское лесничество,,
way,254308097,Веремейское лесничество,,
way,560432305,Верхнедвинское лесничество,,
way,602466132,Вязское лесничество,,
way,375499442,Вязынское лесничество,,
node,6217538440,"ГЛХУ ""Светлогорский лесхоз""",,
way,293107983,ГОЛХУ «МОЗЫРСКИЙ ОПЫТНЫЙ ЛЕСХОЗ»,,
way,302868639,Гиженское лесничество,,
way,677884449,Городищенское лесничество,,
way,1046105504,Грабовское лесничество,,
way,822545218,Дарагановское лесничество,,
way,156863515,Долгиновское лесничество,,
way,732153344,Досовичское лесничество,,
way,362554371,Драчковское лесничество,,
node,5352168321,Дручанское лесничество,,
way,762299176,Дручанское лесничество,,
way,323588173,Дубровское лесничество,,
way,404706378,Дунайковское,,
way,970433170,Жодишковское лесничество,,
way,822927477,Заволочицкое лесничество,,
way,233209660,Индурское лесничество,,
way,331531060,Искровское Лесничество,,
way,102844112,Камайское лесничество,,
way,403053694,"Капличское лесничество ГЛХУ ""Калинковичский лесхоз""",,
way,532002870,Колоднянское лесничество,,
way,367397062,Кревское лесничество,,
way,865769739,Круговичское лесничество,,
node,5352961322,Лименское лесничество,,
node,7705206510,Лоевский лесхоз,,
node,9995104525,Молодечненский лесхоз,,
way,767998065,Молодечненское Лесничество ГЛХУ Молодечненский лесхоз,,
way,649192769,Нёманское лесничество,,
way,336520511,Паричское лесничество,,
way,972692723,Приднепровское лесничество,,
way,392196248,Прозорокское лесничество,,
way,356630591,Рудня-Бартоломеевское лесничество,,
way,48185611,Стаўбцоўскі доследны лясгас,,
way,371530009,Столбунское лесничество,,
way,920781691,Узденское лесничество,,
way,818040846,Чемерянское лесничество,,
way,210192925,Чериковское лесничество,,
way,762942866,Чудинское лесничество,,
way,249896098,Шабринское лесничество,,
way,924408938,Эколого-просветительский центр заказника «Средняя Припять»,,
