osm_type,osm_id,name,name:be,name:ru
way,356334212,Бабичское лесничество,,Бабичское лесничество
way,216618463,Борковское лесничество,,Борковское лесничество
way,465952518,Велятичское лесничество,,Велятичское лесничество
way,402613533,Вильчицкое опытно-производственное лесничество,,Вильчицкое опытно-производственное лесничество
way,159946031,Витебское лесничество,,Витебское лесничество
way,931569534,Гаврильчицкое лесничество,,Гаврильчицкое лесничество
way,638719214,Гомельское лесничество,,Гомельское лесничество
way,914217314,Городечненское лесничество,,Городечненское лесничество
way,655434112,Гоцкое лесничество,,Гоцкое лесничество
way,1107917614,Долговское лесничество,,Долговское лесничество
way,1107945733,Жорновское лесничество,,Жорновское лесничество
way,1112689823,Залесское лесничество,,Залесское лесничество
way,665005467,Запрудское лесничество,,Запрудское лесничество
way,591331804,Калиновское лесничество,,Калиновское лесничество
way,381003788,Коссовское лесничество,,Коссовское лесничество
way,583713489,Красно-Швабское лесничество,,Красно-Швабское лесничество
way,952419175,"Куренецкое лесничество ГОЛХУ ""Вилейский опытный лесхоз""",,"Куренецкое лесничество ГОЛХУ ""Вилейский опытный лесхоз"""
way,215360826,Любужское лесничество,,Любужское лесничество
way,868844657,Люсинское лесничество,,Люсинское лесничество
way,265902242,Малышковичское лесничество,,Малышковичское лесничество
way,1073563466,Мальковичское лесничество,,Мальковичское лесничество
way,355743499,Милоградское лесничество,,Милоградское лесничество
way,264429920,Мирское лесничество,,Мирское лесничество
way,835143200,Моисеевское лесничество,,Моисеевское лесничество
way,1060325109,Налибоцкое лесничество,,Налибоцкое лесничество
way,229710731,Нарочское лесничество,,Нарочское лесничество
way,431571784,Николаевское лесничество,,Николаевское лесничество
way,478242345,Обчугское лесничество,,Обчугское лесничество
way,300914090,Освейское лесничество,,Освейское лесничество
way,267888931,Песковское лесничество,,Песковское лесничество
way,1006245218,Рогачевское лесничество,,Рогачевское лесничество
way,1072044751,Ружанское лесничество,,Ружанское лесничество
way,755614600,Ряснянское опытно-производственное лесничество,,Ряснянское опытно-производственное лесничество
way,841802738,Слободское лесничество,,Слободское лесничество
way,638514030,Сорочинское лесничество,,Сорочинское лесничество
way,854220399,Стайское лесничество,,Стайское лесничество
way,1013492529,Тёмнолесское лесничесво,,Тёмнолесское лесничесво
way,487106264,Хотовское лесничество,,Хотовское лесничество
node,4525946590,Чериковский лесхоз,,Чериковский лесхоз
way,240591521,Чечерское лесничество,,Чечерское лесничество
way,632000721,Ясковичское лесничество,,Ясковичское лесничество
way,1079089997,Ясковичское лесничество,,Ясковичское лесничество
