osm_type,osm_id,name,name:be,name:ru
way,808362380,«Быховский психоневрологический дом-интернат для престарелых и инвалидов»,,«Быховский психоневрологический дом-интернат для престарелых и инвалидов»
way,601404397,Александровский дом-интернат,,Александровский дом-интернат
node,3733727767,Баня №3,,Баня №3
way,456405080,Бегомольская школа-интернат,,Бегомольская школа-интернат
way,181619384,БелТИЗ,,БелТИЗ
node,5908897596,Белорусский союз ветеранов войны в Афганистане,,Белорусский союз ветеранов войны в Афганистане
node,3787424446,Белорусское общество инвалидов,,Белорусское общество инвалидов
way,25324896,"ГУО ""Социально-педагогический центр с приютом Ленинского района г.Минска""",,"ГУО ""Социально-педагогический центр с приютом Ленинского района г.Минска"""
way,164177746,Детский приют,,Детский приют
way,216624750,Детский приют,,Детский приют
way,919628509,"Дом престарелых ""Светлица""",,"Дом престарелых ""Светлица"""
node,5522616009,Дом-интернат для инвалидов и престарелых граждан «Юзефово»,,Дом-интернат для инвалидов и престарелых граждан «Юзефово»
way,565200899,Дом-интернат для престарелых и инвалидов,,Дом-интернат для престарелых и инвалидов
way,219900534,Дом-интернат для престарелых и инвалидов «Васильевка»,,Дом-интернат для престарелых и инвалидов «Васильевка»
way,239754285,Зельвенская государственная санаторная школа-интернат,,Зельвенская государственная санаторная школа-интернат
way,1069548897,Кривошинский психоневрологический дом-интернат для престарелых и инвалидов,,Кривошинский психоневрологический дом-интернат для престарелых и инвалидов
node,7772838800,Медицинский вытрезвитель,,Медицинский вытрезвитель
way,103404365,Оршанский дом-интернат для престарелых и инвалидов,,Оршанский дом-интернат для престарелых и инвалидов
node,5866279372,Отделение дневного пребывания для инвалидов,,Отделение дневного пребывания для инвалидов
way,628658052,Отделение дневного пребывания для инвалидов,,Отделение дневного пребывания для инвалидов
way,246052320,Отделение круглосуточного пребывания,,Отделение круглосуточного пребывания
way,276390714,Отделение круглосуточного пребывания,,Отделение круглосуточного пребывания
way,629191623,Отделение круглосуточного пребывания,,Отделение круглосуточного пребывания
way,372817657,Отделение круглосуточного пребывания граждан престарелого возраста и инвалидов дер.Борисовичи,,Отделение круглосуточного пребывания граждан престарелого возраста и инвалидов дер.Борисовичи
node,9170586351,Позитив,,Позитив
way,395488121,Соц. защита,,Соц. защита
way,156929262,Социально-педагогический центр Глубокского района,,Социально-педагогический центр Глубокского района
way,58704459,Центр внешкольной работы,,Центр внешкольной работы
