osm_type,osm_id,name,name:be,name:ru
way,25324614,Белорусский государственный молодежный театр,,
node,1448604424,Иван Купала,,
node,3877842558,Камерная сцэна тэатра імя Янкі Купалы,,
node,1484785953,Магілёўскі абласны метадычны цэнтр народнай творчасці і культурна-асветніцкай працы,,
way,169679699,Минский областной драматический театр,,
way,109200624,"Минский областной театр кукол ""Батлейка""",,
node,9969369579,Площадка под открытым небом,,
way,325513172,Полесский Драматический Театр,,
node,281922216,Рэспубліканскі тэатр беларускай драматургіі,,
way,97703474,Слонимский драматический театр,,
node,9943318009,Театр-батлейка,,
way,25387164,Театр-студия Киноактера,,
node,4601989289,Центр культуры и народного творчества,,
way,264092412,драмтеатр имени Мележа,,
node,4533409513,театр Маладик,,
