osm_type,osm_id,name,name:be,name:ru
way,243964173,Высоковский городской исполнительный комитет,,Высоковский городской исполнительный комитет
way,249896575,ДПО,,ДПО
way,552408274,Долговский сельский исполнительный комитет,,Долговский сельский исполнительный комитет
way,815083974,Капланецкий сельисполком,,Капланецкий сельисполком
way,257610117,Правление,,Правление
node,5202655651,СПК «Бородичи»,,СПК «Бородичи»
way,320972907,Симоничский сельский исполнительный комитет,,Симоничский сельский исполнительный комитет
node,13059133909,ТС Крона-2016,,ТС Крона-2016
way,426115388,Туринский сельский исполнительный комитет,,Туринский сельский исполнительный комитет
way,242699390,ЦСУ,,ЦСУ
