osm_type,osm_id,name,name:be,name:ru
way,29125933,Ёлки Палки,,
way,29125532,Автоматическая телефонная станция № 56,,
node,786908134,"Автошкола ""Вишком""",,
node,8887201425,Администратор,,
way,25324608,БЦ Виктория-Плаза,,
way,25326420,БЦ Сакрамент,,
way,25388700,Баня №7,,
way,25324438,Библиотека им. А.С. Пушкина,,
relation,6574924,Бизнес Центр «Соло»,,
way,25326430,"Бизнес-центр ""Капитал""",,
way,557990615,Борковичский сельский исполнительный комитет,,
way,133977169,Ветковский КБО,,
way,25324319,Военкомат Советского района,,
way,239437119,Военный комиссариат Житковичского района,,
way,97557735,Волковысский комбинат бытового обслуживания,,
way,260886057,Вторчермет,,
way,430354523,"ГУО ""Ясли-сад д. Больтиники""",,
relation,6413616,"ГУТП ""Ровесник""",,
way,136483449,Госкомитет судебных экспертиз,,
way,383253264,Гродненская Областная Филармония,,
way,32682501,ДДТ,,
way,25322087,ДК Тракторного завода,,
way,25326154,ДК Швейной фабрики Элема,,
way,106992746,Дворец Культуры г.Молодечно,,
way,29125028,Дворец Текстильщиков,,
way,25387592,Дворец шахмат и шашек,,
way,479135092,Департамент охраны МВД РБ Октябрьский отдел (г.Минска),,
way,29124797,Детская библиотека №7,,
relation,3234580,Дом Культуры и Техники,,
way,38527079,Дом Профсоюзов,,
way,467487180,Дом быта д. Большевик,,
way,29126268,ЖКХ Гродненского района,,
way,260432159,Заповедник,,
way,287670782,Запольский СДК,,
node,243041749,Кадино сельсовет,,
way,256696994,Кантора совхоза,,
way,63209055,Клуб Тенниса,,
way,762026703,"Культурно-развлекательный центр ""Озёрный""",,
relation,21969,Лаборатория биохимических методов исследования ЦНИЛ,,
way,232198552,Ледовая площадка,,
way,25326635,МИР,,
way,25388506,НемигаСити,,
way,29125961,Общежитие Химремонт,,
relation,3222363,Партизанское РУВД,,
way,320453802,Патриотический центр БРСМ,,
way,1028638805,Пинский городской центр культуры и творчества,,
way,386796938,Поселковый дом культуры,,
way,137573136,Поселковый совет,,
way,35763099,Прокуратура Суд,,
way,48174836,"РКЦ 4 ЖЭУ 126, 128",,
way,113983501,Развлекательный центр Спутник,,
way,50157116,Сенницкий Центр культуры,,
relation,10817699,"Спортивно-оздоровительный комплекс ""Олимпийский""",,
way,159172325,"Столовая СПК ""Урицкое""",,
way,632419387,"Столовая, спортзал",,
way,256833214,Стреличевский сельсовет,,
way,280436331,Суд Кобринского района,,
node,8971711792,Торговые места,,
way,62199295,"Торговый центр ""Зебра""",,
way,256833217,Управление Стреличевского СПК,,
way,260432164,Управление ТБЗ,,
way,260886059,Упраление РайПО,,
way,790806087,"Участок управления и охраны СТ ""Гарани""",,
way,25390012,Учебный центр ДОСААФ,,
way,205487067,Фанипольский сельский исполнительный комитет,,
way,25390387,Фонд социальной защиты населения Московского и Фрунзенского районов,,
way,242037077,Хозкорпус монастыря,,
way,29125725,Центр социального обслуживания населения Октябрьского района города Гродно,,
way,199308505,"Центр туризма и краеведения ""Ветразь""",,
way,25323118,Центр экологии и краеведения,,
way,32682510,Электро подстанция,,
way,208548767,здание клуба,,
way,242478374,"к-з ""Салют""",,
way,632465103,сельский клуб,,
