osm_type,osm_id,name,name:be,name:ru
way,301205498,1-й зенитный ракетный полк,,1-й зенитный ракетный полк
way,967016456,1-й учебный участок директрисы БМП-2,,1-й учебный участок директрисы БМП-2
way,458561160,"1-я застава ""Хвойники""",,"1-я застава ""Хвойники"""
way,528721965,10-й Отдельный Батальон Радиоэлектронной Борьбы,,10-й Отдельный Батальон Радиоэлектронной Борьбы
relation,13434785,11-ая гвардейская Прикарпатско-Берлинская Краснознаменная ордена Суворова II степени отдельная механизированная бригада,,11-ая гвардейская Прикарпатско-Берлинская Краснознаменная ордена Суворова II степени отдельная механизированная бригада
way,458352667,"11-ая застава ""Рыболы""",,"11-ая застава ""Рыболы"""
relation,10972852,1146-й гвардейский зенитно-ракетный полк в/ч 97106,,1146-й гвардейский зенитно-ракетный полк в/ч 97106
way,551270285,1176 отдельный батальон материального обеспечения,,1176 отдельный батальон материального обеспечения
way,458561163,"12-ая застава ""Лесная""",,"12-ая застава ""Лесная"""
way,458561162,"13-ая застава ""Могилёвская""",,"13-ая застава ""Могилёвская"""
way,459238562,1393–я артиллерийская база боеприпасов войсковая часть 52208,,1393–я артиллерийская база боеприпасов войсковая часть 52208
way,233921358,14-й отдельный полк правительственной связи,,14-й отдельный полк правительственной связи
way,116790631,1405 артиллерийская база боеприпасов (в/ч 42707),,1405 артиллерийская база боеприпасов (в/ч 42707)
way,372616884,1474-я отдельная радиолокационная рота войсковая часть 51936,,1474-я отдельная радиолокационная рота войсковая часть 51936
way,244088988,15 зенитно-ракетная бригада 3-й дивизион,,15 зенитно-ракетная бригада 3-й дивизион
way,89781804,153-я радиотехническая бригада особого назначения,,153-я радиотехническая бригада особого назначения
way,496169072,17-й Особый батальон связи,,17-й Особый батальон связи
way,967016436,2-й учебный участок директрисы БМП-2,,2-й учебный участок директрисы БМП-2
way,458350791,2-я застава имени Кириченко Ф.П,,2-я застава имени Кириченко Ф.П
way,448854453,"212-й авиационный полигон ""Неман""",,"212-й авиационный полигон ""Неман"""
way,967016495,227-й общевойсковой полигон войсковая часть № 33196,,227-й общевойсковой полигон войсковая часть № 33196
way,301205502,2285 отдельный радиотехнический батальон,,2285 отдельный радиотехнический батальон
way,368320620,2335-я база хранения медицинской техники и имущества Вооруженных Сил РБ (филиал),,2335-я база хранения медицинской техники и имущества Вооруженных Сил РБ (филиал)
way,62313249,"2ОСМБр ВВ МВД РБ, в/ч 3310",,"2ОСМБр ВВ МВД РБ, в/ч 3310"
way,458350792,"3-ая застава ""Беляны""",,"3-ая застава ""Беляны"""
way,967016435,3-й учебный участок директрисы БМП-2,,3-й учебный участок директрисы БМП-2
way,381804976,354-я радионавигационная часть,,354-я радионавигационная часть
way,271004864,3540-я продовольственная база,,3540-я продовольственная база
way,327424220,4 Патрульная рота 2 отдельного патрульного батальона войсковой части 5525,,4 Патрульная рота 2 отдельного патрульного батальона войсковой части 5525
way,508390308,4-ая пограничная застава имени Сивачева,,4-ая пограничная застава имени Сивачева
way,167807986,49-я радиотехническая бригада,,49-я радиотехническая бригада
way,508429825,"5-ая застава ""Подлипки""",,"5-ая застава ""Подлипки"""
way,403802025,5-й дивизион 15-й зенитной ракетной бригады,,5-й дивизион 15-й зенитной ракетной бригады
way,77722013,5-я отдельная бригада специального назначения,,5-я отдельная бригада специального назначения
way,699849840,50-я смешанная авиационная база ВВС Республики Беларусь,,50-я смешанная авиационная база ВВС Республики Беларусь
way,67025262,557-я инженерная бригада,,557-я инженерная бригада
way,458350794,"6-ая застава ""Одельск""",,"6-ая застава ""Одельск"""
relation,4459514,6-я Киевско-Берлинская отдельная механизированная бригада,,6-я Киевско-Берлинская отдельная механизированная бригада
way,743599046,6-я отдельная патрульно-постовая рота (в/ч 5525),,6-я отдельная патрульно-постовая рота (в/ч 5525)
way,527036829,62 ЦУС Передающий радиоцентр,,62 ЦУС Передающий радиоцентр
way,458350798,"7-ая застава ""Русаки""",,"7-ая застава ""Русаки"""
way,610239308,77-я база хранения и разделки автомобильного имущества в/ч 52215,,77-я база хранения и разделки автомобильного имущества в/ч 52215
way,789018571,"8-ая застава ""Огородники"" имени И.П.Беляева",,"8-ая застава ""Огородники"" имени И.П.Беляева"
way,458350801,"8-ая застава ""Семеновка""",,"8-ая застава ""Семеновка"""
way,717170903,825-й зенитный ракетный полк,,825-й зенитный ракетный полк
way,121542585,841‑я гвардейская группа артиллерии,,841‑я гвардейская группа артиллерии
way,458352676,"9-ая застава ""Галынка""",,"9-ая застава ""Галынка"""
way,397435158,927-й центр подготовки и применения беспилотных авиационных комплексов,,927-й центр подготовки и применения беспилотных авиационных комплексов
way,908177549,Артиллерийская позиция,,Артиллерийская позиция
way,410561343,БПРМ,,БПРМ
way,413593404,БПРМ,,БПРМ
way,413868689,БПРМ,,БПРМ
way,508221971,"База военной техники ""Чеховщизна""",,"База военной техники ""Чеховщизна"""
node,2816204268,Бетонный дзот времен ВОВ2,,Бетонный дзот времен ВОВ2
way,420367645,Блиндаж,,Блиндаж
way,620735535,Блок А,,Блок А
way,620735534,Блок Б,,Блок Б
node,5418518760,Бомбоубежище,,Бомбоубежище
way,323365567,Брестская Краснознамённая пограничная группа им. Ф.Э. Дзержинского,,Брестская Краснознамённая пограничная группа им. Ф.Э. Дзержинского
way,254994275,ВЧ 5525,,ВЧ 5525
way,373370617,ВЧ 5529,,ВЧ 5529
way,729903366,Верхнедвинский районный отдел по чрезвычайным ситуациям,,Верхнедвинский районный отдел по чрезвычайным ситуациям
way,510715265,Винтовочный артиллерийский полигон,,Винтовочный артиллерийский полигон
way,510715239,Военгородок № 76,,Военгородок № 76
way,173826798,Военкомат Центрального района,,Военкомат Центрального района
way,325936228,Военкомат г. Бреста и Брестского района,,Военкомат г. Бреста и Брестского района
way,275761430,Военная часть 1468 (МТО),,Военная часть 1468 (МТО)
way,376566447,Военные склады,,Военные склады
way,378588614,Военный Комиссариат Минской Области,,Военный Комиссариат Минской Области
way,331335876,Военный аэродром,,Военный аэродром
way,578837678,"Военный городок ""Лапичи""",,"Военный городок ""Лапичи"""
way,370341474,Военный городок Бобр-24,,Военный городок Бобр-24
way,230913346,Военный городок №12,,Военный городок №12
relation,14070691,Военный городок №14,,Военный городок №14
way,678837248,Военный городок №5,,Военный городок №5
way,1054275607,Военный городок №9,,Военный городок №9
way,29125327,Военный комиссариат Гродненской области,,Военный комиссариат Гродненской области
way,95051729,"Военный полигон ""Репище""",,"Военный полигон ""Репище"""
way,609709417,Воинская часть 01264,,Воинская часть 01264
