osm_type,osm_id,name,name:be,name:ru
way,397435158,927-й центр подготовки и применения беспилотных авиационных комплексов,,927-й центр подготовки и применения беспилотных авиационных комплексов
node,3773076962,АПК 11,,АПК 11
node,3806757221,АПК №01,,АПК №01
node,4086758507,АПК №1,,АПК №1
node,4086758504,АПК №2,,АПК №2
node,4086758508,АПК №4,,АПК №4
node,5922200185,Артиллерийский бункер,,Артиллерийский бункер
way,1067121904,Артиллерийский дот № 525,,Артиллерийский дот № 525
way,1067121906,Артиллерийский дот № 548,,Артиллерийский дот № 548
way,1067142047,Артиллерийский дот № 562,,Артиллерийский дот № 562
way,1067166117,Артиллерийский полукапонир 1938,,Артиллерийский полукапонир 1938
way,1067166118,Артиллерийский полукапонир 1938,,Артиллерийский полукапонир 1938
way,1067166119,Артиллерийский полукапонир 1938,,Артиллерийский полукапонир 1938
way,1067166120,Артиллерийский полукапонир 1938,,Артиллерийский полукапонир 1938
way,1056806563,Артиллерийский полукапонир № 529,,Артиллерийский полукапонир № 529
way,626520179,Бункер 77,,Бункер 77
node,7546042969,Бункер Первой мирвой войны,,Бункер Первой мирвой войны
node,7546042970,Бункер Первой мирвой войны,,Бункер Первой мирвой войны
node,7235621445,Бункер Первой мировой войны 1915-1917,,Бункер Первой мировой войны 1915-1917
node,7235621471,Бункер Первой мировой войны 1915-1917,,Бункер Первой мировой войны 1915-1917
node,7235621472,Бункер Первой мировой войны 1915-1917,,Бункер Первой мировой войны 1915-1917
node,7235621473,Бункер Первой мировой войны 1915-1917,,Бункер Первой мировой войны 1915-1917
node,7235621474,Бункер Первой мировой войны 1915-1917,,Бункер Первой мировой войны 1915-1917
way,61939952,ВоенСервис,,ВоенСервис
way,754485786,Военкомат Первомайского района,,Военкомат Первомайского района
way,168288889,Военный Комиссариат г.Витебска,,Военный Комиссариат г.Витебска
way,475075307,Военный комиссариат Берёзовского района,,Военный комиссариат Берёзовского района
node,9629693930,Военный комиссариат Зельвенского района,,Военный комиссариат Зельвенского района
way,210192901,Военный комиссариат Чериковского и Краснопольского районов,,Военный комиссариат Чериковского и Краснопольского районов
way,29126292,Войсковая Часть 01040,,Войсковая Часть 01040
node,3340016296,Галерея 1,,Галерея 1
way,152313400,Глубокский военкомат,,Глубокский военкомат
way,118417023,Гомельский городской центр № 2 допризывной подготовки,,Гомельский городской центр № 2 допризывной подготовки
way,320683743,Горжевая казарма,,Горжевая казарма
way,674100867,Гродненское областное кадетское училище,,Гродненское областное кадетское училище
node,3031716287,ДОТ 1й мировой войны,,ДОТ 1й мировой войны
way,376790322,ДОТ Гродненского УРа,,ДОТ Гродненского УРа
node,3803874527,ДОТ польский,,ДОТ польский
node,1117025432,ДОТ № 164 БРО № 5 МиУР,,ДОТ № 164 БРО № 5 МиУР
way,370151857,"ДОТ №39 РР ""К"" Полоцкий УР",,"ДОТ №39 РР ""К"" Полоцкий УР"
node,3738772221,"ДОТ №40 РР ""К""",,"ДОТ №40 РР ""К"""
way,370151856,"ДОТ №41 РР ""К"" Полоцкий УР",,"ДОТ №41 РР ""К"" Полоцкий УР"
node,6357364657,Западное оперативное командование,,Западное оперативное командование
node,4209829694,КПП №2,,КПП №2
node,4964748723,КПП №3,,КПП №3
node,6153758158,Кинологический центр Вооруженных сил,,Кинологический центр Вооруженных сил
node,5048106623,Ложный дот,,Ложный дот
way,499867269,"Многосторонний автомобильный пункт пропуска ""Привалка - Райгардас""",,"Многосторонний автомобильный пункт пропуска ""Привалка - Райгардас"""
way,25391971,Московский районный военный комиссариат,,Московский районный военный комиссариат
way,1067142049,Наблюдательный пункт,,Наблюдательный пункт
node,8930501012,Немецкий ДОТ 1WW,,Немецкий ДОТ 1WW
node,7830726177,ОППК №03,,ОППК №03
node,7830726175,ОППК №06,,ОППК №06
node,3908044826,ОППК №07,,ОППК №07
node,3806758561,ОППК №08,,ОППК №08
node,7830726176,ОППК №09,,ОППК №09
node,4086758505,ОППК №3,,ОППК №3
node,4086758506,ОППК №6,,ОППК №6
way,133424768,Оборонительная казарма «А-Б»,,Оборонительная казарма «А-Б»
way,1067143462,Оборонительная казарма «Б-В»,,Оборонительная казарма «Б-В»
way,463858444,Оборонительная казарма «Ж-З»,,Оборонительная казарма «Ж-З»
node,1111706175,Оборонительное сооружение 1930-х гг.,,Оборонительное сооружение 1930-х гг.
node,1374691808,Оборонительное сооружение 1930-х гг.,,Оборонительное сооружение 1930-х гг.
node,4961855270,Огневой городок артиллерии,,Огневой городок артиллерии
way,1067121903,Одноказематный дот № 504,,Одноказематный дот № 504
way,1066956060,Одноказематный дот № 521,,Одноказематный дот № 521
way,818061553,Одноказематный дот №240,,Одноказематный дот №240
way,834781034,Одноказематный дот №506,,Одноказематный дот №506
way,1067144021,Опорный пункт «Б-В»,,Опорный пункт «Б-В»
node,4896036965,Орудийно-пулеметный полукапонир 1916 г.,,Орудийно-пулеметный полукапонир 1916 г.
node,3773240991,ПДОТ №045,,ПДОТ №045
node,3806757222,ПДОТ №05,,ПДОТ №05
node,3806760499,ПДОТ №11,,ПДОТ №11
node,7830726173,ПДОТ №12,,ПДОТ №12
node,3806804429,ПДОТ №13,,ПДОТ №13
node,3773176469,ПДОТ №18,,ПДОТ №18
node,7830726174,ПДОТ №24,,ПДОТ №24
node,3773240488,ПДОТ №266,,ПДОТ №266
way,392673885,ПДОТ №45,,ПДОТ №45
node,3773074256,ПДОТ-2,,ПДОТ-2
way,888968687,Пороховой погреб № 3,,Пороховой погреб № 3
way,112993464,Промежуточный пороховой погреб «Ж-З»,,Промежуточный пороховой погреб «Ж-З»
way,828250510,Пропускной пункт,,Пропускной пункт
node,5728882706,Пулеметный дот,,Пулеметный дот
way,1067120251,Пулемётно-артиллерийский дот № 507,,Пулемётно-артиллерийский дот № 507
way,1067118746,Пулемётно-артиллерийский дот № 508,,Пулемётно-артиллерийский дот № 508
way,818061557,Пулемётно-артиллерийский дот № 523,,Пулемётно-артиллерийский дот № 523
way,1067121905,Пулемётно-артиллерийский дот № 525а,,Пулемётно-артиллерийский дот № 525а
way,1056846632,Пулемётно-артиллерийский дот № 537,,Пулемётно-артиллерийский дот № 537
way,1056810471,Пулемётно-артиллерийский дот № 539,,Пулемётно-артиллерийский дот № 539
way,818061554,Пулемётно-артиллерийский дот №501,,Пулемётно-артиллерийский дот №501
way,1056846635,Пулемётно-артиллерийский полукапонир № 522,,Пулемётно-артиллерийский полукапонир № 522
way,1067142046,Пулемётно-артиллерийский полукапонир № 526,,Пулемётно-артиллерийский полукапонир № 526
way,1067142048,Пулемётно-артиллерийский полукапонир № 528,,Пулемётно-артиллерийский полукапонир № 528
way,1067118747,Пулемётный дот № 502,,Пулемётный дот № 502
way,1056810470,Пулемётный дот № 553а,,Пулемётный дот № 553а
way,1056846630,Пулемётный дот № 556,,Пулемётный дот № 556
way,818061556,Пулемётный дот №241,,Пулемётный дот №241
way,818061555,Пулемётный дот №243,,Пулемётный дот №243
way,818061558,Пулемётный дот №530,,Пулемётный дот №530
way,1067142045,Пулемётный полукапонир № 509,,Пулемётный полукапонир № 509
way,683609972,Пулемётный полукапонир № 536,,Пулемётный полукапонир № 536
way,1067136631,Пулемётный полукапонир № 542,,Пулемётный полукапонир № 542
node,5611530436,РЛС,,РЛС
node,8023005550,Разрушенный ДОТ,,Разрушенный ДОТ
way,29126621,Санчасть,,Санчасть
way,29166288,Смотровая,,Смотровая
way,510715299,Смотровая,,Смотровая
node,6332125013,Тобрук,,Тобрук
node,6332125014,Тобрук,,Тобрук
node,6332125015,Тобрук,,Тобрук
node,6332125079,Тобрук,,Тобрук
node,6358498965,Тобрук,,Тобрук
node,8342368332,Тобрук,,Тобрук
node,7944486474,Убежище 7/04-11/У-II/150-О,,Убежище 7/04-11/У-II/150-О
node,9721007972,Убежище 7/04-11/У-II/150-О,,Убежище 7/04-11/У-II/150-О
node,4952793634,Убежище С-105,,Убежище С-105
way,29130262,Управление Департамента Исполнения Наказаний МВД по Гродненской области,,Управление Департамента Исполнения Наказаний МВД по Гродненской области
way,447721171,Учебно-тренировочный полигон МЧС,,Учебно-тренировочный полигон МЧС
node,2458109879,"Холдинг ""Пассат""",,"Холдинг ""Пассат"""
node,3946486655,военной учреждение,,военной учреждение
node,3592145441,дот,,дот
way,204632277,штаб,,штаб
