osm_type,osm_id,name,name:be,name:ru
node,9781147191,Аварийная диспетчерская служба Борисовских электрических сетей,,Аварийная диспетчерская служба Борисовских электрических сетей
way,265601951,Борисовские городские электрические сети,,Борисовские городские электрические сети
node,10080495020,Брестэнерго,,Брестэнерго
way,167405336,Волковыскгаз,,Волковыскгаз
way,225633442,Высоковольтный РЭС,,Высоковольтный РЭС
node,4708345893,Гомельский район электроснабжения,,Гомельский район электроснабжения
way,203575896,Климовичигаз,,Климовичигаз
way,243083022,Кореличский район электрических сетей,,Кореличский район электрических сетей
node,6082184987,Минрайтеплосеть,,Минрайтеплосеть
node,9489808110,Мядельский район газоснабжения,,Мядельский район газоснабжения
way,923356922,Наровлянский РГС,,Наровлянский РГС
way,510525878,Ошмянские электрические сети,,Ошмянские электрические сети
way,223342350,Ошмянский РЭС,,Ошмянский РЭС
way,29130533,"ПСДТУ РУП""Гродноэнерго""",,"ПСДТУ РУП""Гродноэнерго"""
node,3591809844,"РУП ""Белэнергосетьпроект""",,"РУП ""Белэнергосетьпроект"""
node,7515508951,РЭС - Центр обслуживания потребителей,,РЭС - Центр обслуживания потребителей
way,710503991,Солигорскгаз,,Солигорскгаз
way,253140579,Солигорское РЭС,,Солигорское РЭС
way,223503253,"Тепловые сети СГУПП ""ЖКХ ""Комплекс""""",,"Тепловые сети СГУПП ""ЖКХ ""Комплекс"""""
node,4793233172,УП Мингаз Служба эксплуатации внутридомовых объектов газопотребления участок Центрального района,,УП Мингаз Служба эксплуатации внутридомовых объектов газопотребления участок Центрального района
node,4969737522,Участок электросетей,,Участок электросетей
way,204393540,Чаусский РЭС,,Чаусский РЭС
node,5638886721,ЩучинРайГаз,,ЩучинРайГаз
node,4995926121,энергосбыт,,энергосбыт
