osm_type,osm_id,name,name:be,name:ru
node,4159752289,БелНДІДАД / BelNIIDAD,БелНДІДАД,БелНИИДАД
way,1443699839,Будзёнаўскае лясніцтва,Будзёнаўскае лясніцтв,Буденовское лесничество
way,159036577,Вішнёўскае лясніцтва,Вішнёўскае лясніцтв,Вишневское лесничество
way,704393844,Гальшанскае лясніцтва,Гальшанскае лясніцтв,Гольшанское лесничество
way,947802027,Граўжышкоўскае лясніцтва,Граўжышкоўскае лясніцтв,Гравжишковское лесничество
way,29128990,Дзяржаўны архіў грамадскіх аб’яднанняў Гродзенскай вобласці,Дзяржаўны архіў грамадскіх аб’яднанняў Гродзенскай вобласці”,Государственный архив общественных объединений Гродненской области
node,8938291196,ЖЭС 7,ЖЭС 1,ЖЭС 1
way,970433170,Жодзішкаўскае лясніцтва,Жодзішкаўскае лясніцтв,Жодишковское лесничество
node,7480886488,КОТОС №79,Калегіяльны орган тэрытарыяльнага грамадскага самакіравання,Коллегиальный орган территориального общественного самоуправления
node,12863339199,Переброди,Пэрэброды,Переброды
node,4357268090,Пружанскі філіял РУП « Брэсцкае агенцтва па дзяржаўнай рэгістрацыі і зямельным кадастры»,Пружанскі філіял РУП «Брэсцкае агенцтва па дзяржаўнай рэгістрацыі і зямельным кадастры»,Пружанский филиал РУП «Брестское агенство по государственной регистрации и земельному кадастру»
