osm_type,osm_id,name,name:be,name:ru
relation,11064762,Горецкий районный исполнительный комитет,Горацкі раённы выканаўчы камітэт,Горецкий районный исполнительный комитет
relation,11064712,Кировский районный исполнительный комитет,Кіраўскі раённы выканаўчы камітэт,Кировский районный исполнительный комитет
relation,11064675,Копыльский районный исполнительный комитет,Капыльскі раённы выканаўчы камітэт,Копыльский районный исполнительный комитет
relation,11064453,Логойский районный Совет депутатов,Лагойскі раённы Савет дэпутатаў,Логойский районный Совет депутатов
relation,11064452,Логойский районный исполнительный комитет,Лагойскі раённы выканаўчы камітэт,Логойский районный исполнительный комитет
relation,13665886,Молодечненский районный исполнительный комитет,Маладзечанскі раённы выканаўчы камітэт,Молодечненский районный исполнительный комитет
way,291795371,ПТО 07242 Полоцк-Стекловолокно,ПТА 07242 Полацк-Шкловалакно,ПТО 07242 Полоцк-Стекловолокно
relation,11064629,Поставский районный исполнительный комитет,Пастаўскі раённы выканаўчы камітэт,Поставский районный исполнительный комитет
relation,11064476,Славгородский районный исполнительный комитет,Слаўгарадскі раённы выканаўчы камітэт,Славгородский районный исполнительный комитет
relation,11064791,Чашникский районный исполнительный комитет,Чашніцкі раённы выканаўчы камітэт,Чашникский районный исполнительный комитет
