osm_type,osm_id,name,name:be,name:ru
node,8548257721,А Клиника,А Клініка,А Клиника
node,9731966951,Игалмед,Іналмед,Игалмед
node,9943115721,Медстори,Медсторы,Медстори
node,10945939017,"Семейная клиника ""Ваш врач""","Сямейная клініка ""Ваш урач""","Семейная клиника ""Ваш врач"""
node,1787025242,Синэво,Сінэво,Синэво
node,4282125644,Синэво,Сінэво,Синэво
node,4476191967,Синэво,Сінэво,Синэво
node,5037035232,Синэво,Сінэво,Синэво
node,5150262526,Синэво,Сінэво,Синэво
node,6477798354,Синэво,Сінэво,Синэво
node,6554663686,Синэво,Сінэво,Синэво
node,6937734608,Синэво,Сінэво,Синэво
node,7166078786,Синэво,Сінэво,Синэво
node,7213286785,Синэво,Сінэво,Синэво
node,7351230922,Синэво,Сінэво,Синэво
node,7782843038,Синэво,Сінэво,Синэво
node,8460436390,Синэво,Сінэво,Синэво
node,8540712671,Синэво,Сінэво,Синэво
node,9187267825,Синэво,Сінэво,Синэво
node,9436766398,Синэво,Сінэво,Синэво
node,9670626350,Синэво,Сінэво,Синэво
node,9731966940,Синэво,Сінэво,Синэво
node,9731966941,Синэво,Сінэво,Синэво
node,9731966942,Синэво,Сінэво,Синэво
node,9731966944,Синэво,Сінэво,Синэво
node,9731966945,Синэво,Сінэво,Синэво
node,9731966946,Синэво,Сінэво,Синэво
node,9731966947,Синэво,Сінэво,Синэво
node,9731966949,Синэво,Сінэво,Синэво
node,9731966950,Синэво,Сінэво,Синэво
way,256545472,Синэво,Сінэво,Синэво
way,320482495,Синэво,Сінэво,Синэво
way,485120068,Синэво,Сінэво,Синэво
node,6435614414,Томография,Тамаграфія,Томография
way,25320746,Томография,Тамаграфія,Томография
node,9731966943,Ультраклиник,Ультраклінік,Ультраклиник
node,10266846410,Центр хорошего слуха,Цэнтр добрага слыху,Центр хорошего слуха
node,9731966948,Элизмед,Элізмед,Элизмед
