osm_type,osm_id,name,name:be,name:ru
node,12812915764,Академия здоровья доктора Подоляко,,Академия здоровья доктора Подоляко
way,1329931780,Великораевский ФАП,,Великораевский ФАП
way,839010914,Гатовщинский фельдшерско-акушерский пункт,,Гатовщинский фельдшерско-акушерский пункт
way,64742550,Гомельская областная клиническая поликлиника,,Гомельская областная клиническая поликлиника
way,136332816,Гомельская областная клиническая поликлиника,,Гомельская областная клиническая поликлиника
node,12834032510,Женская консультация,,Женская консультация
node,13076435439,ИдеалМед,,ИдеалМед
way,815083906,Капланецкий ФАП,,Капланецкий ФАП
node,13529063516,Медтерра,,Медтерра
way,821510254,Моховский ФАП,,Моховский ФАП
way,1347779735,Озерцовская поликлиника,,Озерцовская поликлиника
node,12834032509,Отделение медицинской реабилитации и физиотерапии,,Отделение медицинской реабилитации и физиотерапии
way,541929232,Стародворский ФАП,,Стародворский ФАП
way,362390330,Страдубский ФАП,,Страдубский ФАП
way,91029092,УЗ «Гомельский областной диспансер спортивной медицины»,,УЗ «Гомельский областной диспансер спортивной медицины»
