osm_type,osm_id,name,name:be,name:ru
node,11645770869,32 дент+,,
node,12425871158,АДИСдент,,
node,3203319361,Белосорризо,,
node,12157660473,Блеск,,
node,12407101429,ГОЛЛИВУД СМАЙЛ,,
node,11660171521,Дента-Плюс,,
node,12556542592,ДиПолСтом,,
node,11559424699,Династия,,
node,11576211070,Забота 32,,
node,11956050985,Здоровая улыбка,,
node,12073420252,КолеДент,,
node,11966005885,ЛараДент,,
way,86983855,МираДент,,
node,11921945044,Мистер Дент,,
node,11969117071,Наир-дент,,
node,12276869359,Натори,,
node,12151724797,Нордакс,,
node,4784532144,Плантис,,
node,12429969794,СтомКэт,,
node,7085839387,Стоматологичесий кабинет,,
node,11407174359,Стоматологический кабинет,,
node,11515711305,Стоматологический кабинет,,
node,12483944657,Страна улыбок,,
node,12227601073,"Студия отбеливания зубов ""White rabbit""",,
node,12158072734,Супер смайл,,
node,12073456490,Тамкур-Дент,,
node,12182308109,УльтраДент,,
node,10122997884,Филиал Пинская стоматологическая поликлиника,,
