osm_type,osm_id,name,name:be,name:ru
node,1489610151,"""Стоматология"" ИП Будник",,"""Стоматология"" ИП Будник"
node,4200199596,"""Элегия""",,"""Элегия"""
node,856444573,32 Богартыря,,32 Богартыря
node,1178918820,32 Богартыря,,32 Богартыря
node,8831064117,32 Карата,,32 Карата
node,3912878326,32 дент,,32 дент
node,3779816867,32НОРМ,,32НОРМ
way,25327349,8-я Стоматология,,8-я Стоматология
node,3583770551,Stomtravel - стоматология,,Stomtravel - стоматология
node,9296466878,АИРДентал,,АИРДентал
node,1652609630,АСА Дент,,АСА Дент
node,1664701665,Адиплюс,,Адиплюс
way,549197918,Азбука здоровья,,Азбука здоровья
node,9823161622,Алдис Дент,,Алдис Дент
node,4831012123,Алекстри,,Алекстри
node,4732443932,Альмавила,,Альмавила
node,6518149209,Амедея,,Амедея
node,10035972230,Анюта-Дент,,Анюта-Дент
node,305683132,Аполлония,,Аполлония
node,4350975492,Арт Смайл,,Арт Смайл
node,4609429638,Арт-дент,,Арт-дент
node,4271106197,АртСтом,,АртСтом
node,4226574385,Барановичская городская стоматологическая поликлиника,,Барановичская городская стоматологическая поликлиника
node,4648106889,Беатум-Дент,,Беатум-Дент
node,2920057945,Белый носорог,,Белый носорог
node,4315321294,Белый носорог,,Белый носорог
node,8287737959,Белэксподэнт,,Белэксподэнт
node,4790469624,Биодент,,Биодент
node,5113144721,Богемия,,Богемия
node,3789296874,Вайс-Дент,,Вайс-Дент
node,5273396921,Валеодент,,Валеодент
node,4592729832,Ваш Дантист,,Ваш Дантист
node,2621998328,Ваш доктор,,Ваш доктор
node,3024953481,Весоль,,Весоль
node,4953646121,Вестмедсервис,,Вестмедсервис
way,428980442,Вестмедсервис,,Вестмедсервис
node,5922367185,Вива Медика,,Вива Медика
node,5513765951,Викодент,,Викодент
node,5347033011,Виталимед,,Виталимед
node,1109119695,Владимир,,Владимир
node,306068261,"ГУЗ ""ГЦГСП"" Филиал 5",,"ГУЗ ""ГЦГСП"" Филиал 5"
node,5024614041,Гардент стайл,,Гардент стайл
node,5155923255,Гармония Дент,,Гармония Дент
node,6472503485,Гармония улыбки,,Гармония улыбки
node,1856372240,Голливуд Дентал,,Голливуд Дентал
way,64719187,Гомельская городская стоматологическая поликлиника № 1,,Гомельская городская стоматологическая поликлиника № 1
way,173933455,Гомельская областная стоматологическая поликлиника,,Гомельская областная стоматологическая поликлиника
node,8432207420,Гриневская К.С.,,Гриневская К.С.
node,564931896,ДЭКО,,ДЭКО
node,4300256430,Дантист,,Дантист
node,4062350007,Денс-003,,Денс-003
node,4550058189,Дент-Актив,,Дент-Актив
way,171489730,Дент-Ник,,Дент-Ник
node,5083523724,Дент-плюс,,Дент-плюс
way,168286648,ДентаЧиз,,ДентаЧиз
way,25392958,Дентабел,,Дентабел
node,3307509122,Дентакласс,,Дентакласс
node,4798802525,Дентаклиник,,Дентаклиник
node,5469431022,Дентал хауз,,Дентал хауз
node,7624080286,ДенталЭлит,,ДенталЭлит
node,2627098435,Денталекс,,Денталекс
node,7619683680,Дентальная рентгенодиагностика,,Дентальная рентгенодиагностика
node,5326309791,Дентамари,,Дентамари
node,4945320512,Дентарт и К,,Дентарт и К
node,3446058135,Дентикс,,Дентикс
node,5922874446,Дентистри,,Дентистри
node,5717118309,Дентко,,Дентко
node,4784573709,Дентлайн,,Дентлайн
node,848523874,Дентлайн Люкс,,Дентлайн Люкс
node,3842689453,Дентлюкс,,Дентлюкс
node,7713886178,Дентология,,Дентология
way,25321908,Детская поликлиника № 19 (филиал),,Детская поликлиника № 19 (филиал)
node,306064856,Детская стоматология,,Детская стоматология
node,2717807211,Детская стоматология,,Детская стоматология
node,6666322204,Детская стоматология,,Детская стоматология
way,238269770,Детская стоматология,,Детская стоматология
way,437615579,Детская стоматология,,Детская стоматология
node,6977260626,Диадент,,Диадент
node,5392754823,Диал-Дент,,Диал-Дент
node,2567200800,Дисамед,,Дисамед
node,2397706847,Дмдент,,Дмдент
node,4274005389,Доктор Неболит,,Доктор Неболит
node,4277815789,Доктор Неболит,,Доктор Неболит
node,4222228792,Доктор смайл,,Доктор смайл
node,4580506007,Дудко и сыновья,,Дудко и сыновья
node,4439805390,ДэнтХэлс,,ДэнтХэлс
node,3400617494,Дэнтал Фэнтези,,Дэнтал Фэнтези
node,9008735927,Евродент,,Евродент
node,2014684349,Еврошелест,,Еврошелест
node,4476550794,Емельяненко,,Емельяненко
node,9193941065,ЖСВ-Буг,,ЖСВ-Буг
node,6432661745,Здоровая улыбка,,Здоровая улыбка
node,9197100210,Зуб-здоров,,Зуб-здоров
node,5573216835,Зубная симфония,,Зубная симфония
node,5058362375,Зубной лекарь,,Зубной лекарь
node,4270093747,Зубок,,Зубок
way,208674632,Зубопротезное отделение,,Зубопротезное отделение
node,5585901123,Зубопротезный,,Зубопротезный
node,5193018121,Зуботехническая лаборатория,,Зуботехническая лаборатория
node,5007376021,"Зуботехническая лаборатория, ""Вивид Мастер""",,"Зуботехническая лаборатория, ""Вивид Мастер"""
node,4267921799,ИП Слинко Кирилл Витальевич,,ИП Слинко Кирилл Витальевич
node,5364307119,Ивалюс-Дент,,Ивалюс-Дент
node,5729214142,Ивафарм,,Ивафарм
node,3475464901,Идеал-Денталь,,Идеал-Денталь
node,9071209377,Имени Жадовича,,Имени Жадовича
node,3080117063,Ирпол,,Ирпол
node,6383867886,Кабинет дантиста,,Кабинет дантиста
node,6477672985,КапаДент,,КапаДент
node,9862409877,Космедент,,Космедент
node,4281139561,Кредо-Дент,,Кредо-Дент
node,4306421851,Кристалл Дент,,Кристалл Дент
