osm_type,osm_id,name,name:be,name:ru
way,610239209,Амбулатория,Амбулаторыя,
way,663495200,Запрудская амбулатория,Запрудская амбулаторыя,
node,1310955816,Здравпункт ВГУ им. Машерова,Пункт здароўя ВДУ,
node,4321309789,Медицинский центр Микоша,Медыцынскі цэнтр Мікоша,
node,1347995923,Новый Лекарь,Новы Лекар,
way,346519765,Подстанция скорой помощи № 7,Падстанцыя хуткай дапамогі № 7,
node,4434082292,"Психологический центр ""Эталон""","Псіхалагічны цэнтр ""Эталон""",
node,3306869037,Пульмонологический кабинет,Пульманалагічны кабінет,
node,2627179337,Стоматология «Витекостом»,"Стаматалогія ""Віцекастом»",
way,131425438,Физ.кабинет,Фіз. кабінет,
node,1448667307,Центр исследований сердца,Цэнтр даследаванняў сэрца,
