osm_type,osm_id,name,name:be,name:ru
way,765884115,Авиценна,Авіцэна,Авиценна
node,12775217201,Доктор Кава Клиник,Доктар Кава Клінік,Доктор Кава Клиник
node,3806332020,Инвитро,Інвітра,Инвитро
node,5322234226,Инвитро,Інвітра,Инвитро
node,5826899385,Инвитро,Інвітра,Инвитро
node,8078385205,Инвитро,Інвітра,Инвитро
node,8633795317,Инвитро,Інвітра,Инвитро
node,9571160031,Инвитро,Інвітра,Инвитро
node,9571160035,Инвитро,Інвітра,Инвитро
node,9571160045,Инвитро,Інвітра,Инвитро
node,9756726394,Инвитро,Інвітра,Инвитро
node,9756726395,Инвитро,Інвітра,Инвитро
node,9756726396,Инвитро,Інвітра,Инвитро
node,9756726397,Инвитро,Інвітра,Инвитро
node,11999159456,Кабинет ультразвуковой диагностики,Кабінет ультрагукавой дыягностыкі,Кабинет ультразвуковой диагностики
node,10259647304,МедДиагноз,МедДыягназ,МедДиагноз
node,9690431601,Олехновичская амбулатория,Аляхновіцкая амбулаторыя,Олехновичская амбулатория
node,8243856268,Психотерапевт Шпилевская,Псіхатерапеўт Шпілеўская,Психотерапевт Шпилевская
node,13017549559,Психотерапевт Шпилевская,Псіхатерапеўт Шпілеўская,Психотерапевт Шпилевская
node,13030663015,Янкавіцкі ФАП,Янковичский ФАП,Янкавіцкі ФАП
