osm_type,osm_id,name,name:be,name:ru
node,7604871985,"""Форестмед"" медицинский центр",,"""Форестмед"" медицинский центр"
way,290588507,Августовская врачебная амбулатория,,Августовская врачебная амбулатория
node,8118844595,Аквамед,,Аквамед
node,1194011874,Амбулатория общей практики,,Амбулатория общей практики
way,626427833,Борковский ФАП,,Борковский ФАП
node,4787814821,Бронногорский фельдшерско-акушерский пункт,,Бронногорский фельдшерско-акушерский пункт
node,3941710580,Валерэ,,Валерэ
node,5202585121,Ваш семейный врач,,Ваш семейный врач
way,569360797,Верейковская амбулатория,,Верейковская амбулатория
node,2194128781,Ветврач,,Ветврач
node,306062690,Вита Плюс,,Вита Плюс
way,117267396,Вишнёвская врачебная амбулатория,,Вишнёвская врачебная амбулатория
node,3852390759,ГУСО «Чаусский психоневрологический дом-интернат»,,ГУСО «Чаусский психоневрологический дом-интернат»
node,5322232033,Гинекология,,Гинекология
node,6022865136,Голынковская врачебная амбулатория,,Голынковская врачебная амбулатория
node,10053028631,Городьковская врачебная амбулатория,,Городьковская врачебная амбулатория
node,9189633368,Гуслищанский ФАП,,Гуслищанский ФАП
node,4461417197,Детская клиника Добрый доктор,,Детская клиника Добрый доктор
node,8483106695,Детская клиника Добрый доктор,,Детская клиника Добрый доктор
node,786907673,Дневной наркологический стационар № 1,,Дневной наркологический стационар № 1
way,636107838,Дулевский ФАП,,Дулевский ФАП
way,124652837,Ереминская поликлиника,,Ереминская поликлиника
way,242825909,Жемчужненская АВОП,,Жемчужненская АВОП
way,58616340,Женская консультация №1,,Женская консультация №1
node,5013982043,Здравпункт,,Здравпункт
node,3594647815,Здравпункт БГАТУ,,Здравпункт БГАТУ
node,2607673097,Иглорефлексотерапия,,Иглорефлексотерапия
node,9505231818,Кабинет врача-офтальмолога,,Кабинет врача-офтальмолога
node,9469060698,Кабинет медицинской косметологии,,Кабинет медицинской косметологии
way,290476742,Князевская врачебная амбулатория,,Князевская врачебная амбулатория
node,10031833279,Логопедический кабинет,,Логопедический кабинет
way,623807297,Марковичский ФАП,,Марковичский ФАП
node,5349282029,Мед-практика,,Мед-практика
node,4781351629,Медицинский центр,,Медицинский центр
node,4320942567,"Медицинский центр ""Инфомед""",,"Медицинский центр ""Инфомед"""
node,7166067191,Медпункт ОАО Борисовдрев,,Медпункт ОАО Борисовдрев
node,2325718625,Медсанчасть МАЗ,,Медсанчасть МАЗ
node,7371843727,Медсоно,,Медсоно
node,3646703339,"Медцентр ""Даша""",,"Медцентр ""Даша"""
way,322191413,Медыцынская амбулаторыя,,Медыцынская амбулаторыя
node,4498867584,Минский городской гастроэнторологический центр,,Минский городской гастроэнторологический центр
node,5455014634,"Наркологический дневной стационар, отделение №5",,"Наркологический дневной стационар, отделение №5"
node,7081897789,Наркологическій диспансер (дневной стационар),,Наркологическій диспансер (дневной стационар)
node,4655290792,Ожоговый центр,,Ожоговый центр
node,5890538287,Окомедсон,,Окомедсон
node,5320617514,Омговичская врачебная амбулатория,,Омговичская врачебная амбулатория
way,303309637,Охрана здоровья человека,,Охрана здоровья человека
node,3084301680,Педиатрический кабинет,,Педиатрический кабинет
way,95618095,Приборский ФАП,,Приборский ФАП
node,3394530528,Приемный покой,,Приемный покой
node,3092050109,Приснянская амбулатория врача общей практики,,Приснянская амбулатория врача общей практики
node,9976427217,Психолог в Минске - Андрей Винтергрин,,Психолог в Минске - Андрей Винтергрин
node,1817903734,Пуховичская врачебная амбулатория общей практики,,Пуховичская врачебная амбулатория общей практики
node,4601989092,Рогозницкая амбулатория,,Рогозницкая амбулатория
way,488064125,Рудевичский фельдшерско-акушерский пункт,,Рудевичский фельдшерско-акушерский пункт
way,449992632,Сватковская Амбулатория,,Сватковская Амбулатория
way,461663857,Словатичская амбулатория,,Словатичская амбулатория
node,5243820622,Сморгонский зональный центр гигиены и эпидемиологии,,Сморгонский зональный центр гигиены и эпидемиологии
way,563346131,Споровская амбулатория,,Споровская амбулатория
way,380554427,"Станция ""Скорой медицинской помощи""",,"Станция ""Скорой медицинской помощи"""
way,100045156,Старосельская амбулатория,,Старосельская амбулатория
node,6503389361,Суд мед экспертиза,,Суд мед экспертиза
way,557651731,Теглевичский ФАП,,Теглевичский ФАП
node,3499359305,Терра Медика,,Терра Медика
node,5670477724,Фельдшерский пункт,,Фельдшерский пункт
way,276926576,Фельдшерский пункт,,Фельдшерский пункт
way,317893298,Фельдшэрска-акушэрскі пункт,,Фельдшэрска-акушэрскі пункт
way,64749290,Эндокринологический Диспансер,,Эндокринологический Диспансер
node,4612244290,женская консультация,,женская консультация
way,300352451,санаторий «Пралеска»,,санаторий «Пралеска»
way,210184995,центр гигиены и эпидимиологии,,центр гигиены и эпидимиологии
