osm_type,osm_id,name,name:be,name:ru
way,29125358,1134 военный клинический медицинский центр,1134 ваенны клінічны медыцынскі цэнтр,
node,1206497154,223 ЦАМ,223 ЦAM,
way,169679693,4-й корпус,4-ы корпус,
way,341436914,Pеспубликанский научно-практический центр радиационной медицины и экологии человека,Рэспубліканскі навукова-практычны цэнтр радыяцыйнай медыцыны і экалогіі чалавека,
node,4257671189,Академическая больница,Акадэмічная бальніца,
node,7256339092,Амбулатория N 1 Лепельский ЦРБ,Амбулаторыя № 1 Лепельскай ЦРБ,
node,9705964817,БСМП,БСМД,
node,5786025955,Бакштанская амбулатория общей практики,Бакштанская амбулаторыя агульнай практыкі,
node,306069234,Барановичский ЦГЭ,Баранавіцкі ЦГЭ,
node,950589733,Березинская ЦРБ,Бярэзінская ЦРБ,
way,209323613,Больница ЖД,Чыгуначная бальніца,
node,4908891130,Больница/Поликлиника,Бальніца/Паліклініка,
node,3745742212,Брестская областная медико-реабилитационная экспертная комиссия,Брэсцкая абласная медыка-рэабілітацыйная экспертная камісія,
node,1201457387,"Брестская областная психиатрическая больница ""Могилевцы""","Брэсцкая абласная псіхіятрычная бальніца ""Магілёўцы""",
way,636285317,Волповская больница сестринского ухода,Волпаўская бальніца сястрынскага догляду,
node,3788720737,Врачебная амбулатория микрорайона Индустриальный,Урачэбная амбулаторыя мікрараёна Індустрыяльны,
node,3788720738,Врачебная амбулатория микрорайона Молодёжный,Урачэбная амбулаторыя мікрараёна Маладзёжны,
way,205178961,"ГВСУ ""Бобруйская межрайонная ветеринария лаборатория""",Бабруйская міжраённая ветэрынарная лабараторыя,
way,106307284,Гожская Амбулатория,Гожская амбулаторыя,
way,649739398,Горбольница г.Дисна,Гарбальніца г.Дзісна,
way,205312457,Городская детская больница,Гарадская дзіцячая бальніца,
node,913507658,Городская полоклиника №2,Гарадская палаклініка №2,
way,474886406,Гродненский областной клинический центр «Фтизиатрия»,"Гродзенскі абласны клінічны цэнтр ""Фтызіятрыя""",
way,907070699,Детская больница,Дзіцячая бальніца,
node,1375740701,Детская поликлиника №1 филиал,Дзіцячая паліклініка №1 філіял,
node,6569612585,Долговская больница,Даўгоўская бальніца,
way,30273010,Дом круглосуточного пребывания,Дом кругласутачнага знаходжання,
way,636074100,Дубновская больница,Дубноўская бальніца,
node,6522036088,Женская консультация № 1,Жаночая кансультацыя № 1,
way,515004696,Жлобинская центральная районная больница,Жлобінская цэнтральная раённая бальніца,
node,2318170349,Залесская амбулатория врача общей практики,Залеская амбулаторыя ўрача агульнай практыкі,
way,658443156,Ивацевичская центральная районная больница,Івацэвіцкая цэнтральная раённая бальніца,
way,473221458,Индурская участковая больница,Індурская ўчастковая бальніца,
node,612440363,Кожно-венерологичекое отделение,Скурна-венеролагічнае аддзяленне,
node,1573689639,"Кожно-венерологический диспансер, филиал №1","Скурна-венералагічны дыспансер, філіял №1",
way,27896643,Кожное отделение кожвендиспансера,Скурнае аддзяленне скурвендыспансера,
node,6665253997,Корпус МРТ-диагностики,Корпус МРТ-дыягностыкі,
way,208678969,Кричевская районная поликлиника,Крычаўская раённая паліклініка,
way,209024427,ЛОР отделение,ЛОР аддзяленне,
node,5508091105,Лазарь,Лазар,
way,578894675,Лапичская участковая больница,Лапіцкая ўчастковая бальніца,
node,4223494990,Лечебные корпус,Лячэбныя корпус,
node,4223465393,"Лечебный корпус, приемный покой, травмотологический пункт","Лячэбны корпус, прыёмны пакой, траўматалагічны пункт",
node,1351236567,Лошанский фельдшерско-акушерский пункт,Лашанскі фельчарска-акушэрскі пункт,
node,923883996,Лунинецкая больница сестринского ухода,Лунінецкая бальніца сястрынскага догляду,
node,6782691986,"МЦ ""Элизабет""","МЦ ""Элізабет""",
node,7460121785,Медицинский центр,Медыцынскі цэнтр,
node,8556326502,"Медицинский центр ""Парацельс""","Медыцынскі цэнтр ""Парацэльс""",
way,114712374,Медсанчасть БМЗ,Медсанчастка БМЗ,
way,570647319,Молчадская больница,Малчадская бальніца,
way,209024429,Неврологическое отделение,Неўралагічнае аддзяленне,
node,2932443729,Областной диспансер спортивной медицины,Абласны дыспансер спартыўнай медыцыны,
node,9197018817,Областной кардиологический диспансер,Абласны кардыялагічны дыспансер,
node,306061851,Областной эндокринологический диспансер,Абласны эндакрыналагічны дыспансер,
way,912220344,Октябрьская ЦРБ,Акцябрская ЦРБ,
way,274928483,Октябрьская участковая больница,Акцябрская ўчастковая бальніца,
way,213800991,Ореховская больница,Арэхаўская бальніца,
way,25326778,Отделение сестринского ухода государственного учреждения «Больница паллиативного ухода «Хоспис»,Аддзяленне сястрынскага догляду дзяржаўнай установы «Бальніца паліятыўнага догляду «Хоспіс»,
node,6495503985,Подлабенская амбулатория,Падлабенская амбулаторыя,
node,4223486093,"Поликлиника ОАО""Беларуськалий""","Паліклініка ААТ ""Беларуськалій""",
way,213052547,Поликлиника ЦРБ,Паліклініка ЦРБ,
node,5590524371,Поликлинника Янушковический фап,Паліклініка Янушкавіцкага ФАП,
node,452540913,Приёмное отделение ГОДКБ,Прыёмнае аддзяленне ГАДКБ,
way,121940863,Республиканская детская больница медицинской реабилитации,Рэспубліканская дзіцячая бальніца медыцынскай рэабілітацыі,
way,178006609,"Республиканская туберкулезная больница ""Волковичи""","Рэспубліканская сухотная бальніца ""Ваўковічы""",
node,2621529150,"Родильное отделение, офтальмологическое отделение, оториноларингологическое отделение","Радзільнае аддзяленне, афтальмалагічнае аддзяленне, отарыналарынгалагічнае аддзяленне",
way,41160220,"Родильное, Инсультное, Патологии беременных, Офтальмологическое отделения","Радзільнае, Інсультнае, Паталогіі цяжарных, Афтальмалагічнае аддзяленні",
way,463855874,Рубежевичская участковая больница,Рубяжэвіцкая ўчастковая бальніца,
way,575993229,Ружанская городская больница,Ружанская гарадская бальніца,
way,155762126,Санаторий подростковый туберкулёзный,Санаторый падлеткавы сухотны,
way,306524016,Свислочская сельская врачебная амбулатория,Свіслацкая вясковая ўрачэбная амбулаторыя,
way,280864061,Селютинский психоневрологический дом-интернат,Сялюцінскі псіханеўралагічны дом-інтэрнат,
way,458862018,Сенненская центральная районная больница,Сяненская цэнтральная раённая бальніца,
way,785774439,Слонимская центральная районная больница,Слонімскі цэнтральны раённы шпіталь,
way,40206400,Сморгонская Центральная районная больница,Смаргонская Цэнтральная раённая бальніца,
way,1079383696,Станция скорой помощи,Станцыя хуткай дапамогі,
way,39491314,Старобинская Городская больница,Старобінская Гарадская бальніца,
node,4278114844,Стерилизационная,Стэрылізацыйная,
node,899327473,Столинская ЦРБ,Столінская ЦРБ,
node,2850478196,Стоматологическая клиника Боброва,Стаматалагічная клініка Баброва,
node,9889781113,Судмедэкспертиза,Судмедэкспертыза,
way,373227653,Сухаревская больница,Сухараўская бальніца,
way,209024432,Терапетивческое отделение,Тэрапетычнае аддзяленне,
way,241501146,Тереховский филиал Добрушской ЦРБ,Церахоўскі філіял Добрушскай ЦРБ,
way,392605904,Туберкулёзный диспансер,Сухотны дыспансер,
way,1031359888,Туберкулёзный диспансер,Сухотны дыспансер,
way,41160224,"Туберкулёзный диспансер, инфекционное отделение","Сухотны дыспансер, інфекцыйнае аддзяленне",
way,513125433,"УЗ ""Любанская ЦРБ""","УАЗ ""Любанская ЦРБ""",
node,4223453797,"УЗ ""Солигорская центральная районная больница"" Административный корпус","УАЗ ""Салігорская цэнтральная раённая бальніца"" Адміністрацыйны корпус",
way,431865280,УЗ «Бобруйский межрайонный онкологический диспансер»,УАЗ «Бабруйскі міжраённы анкалагічны дыспансер»,
way,123432731,УЗ «Областной детский центр медицинской реабилитации «Пуховичи»,ГУАЗ «Абласны дзіцячы цэнтр медыцынскай рэабілітацыі «Пухавічы»,
way,190863424,Участковая больница,Участковая бальніца,
way,304461678,Фап,ФАП,
way,373173519,Филиал «Трилесинская областная психиатрическая больница»,Філіял «Трылесінская абласная псіхіятрычная бальніца»,
node,5240946822,Хоспис,Хоспіс,
way,372848687,Хотимская центральная районная больница,Хоцімская цэнтральная раённая бальніца,
way,209024433,Цетральный корпус,Цэнтральны корпус,
way,712706243,Щучинская центральная районная больница,Шчучынская цэнтральная раённая бальніца,
