osm_type,osm_id,name,name:be,name:ru
way,302393427,"Аптека ""ВАНЬКА-ВСТАНЬКА""",,
node,8718729091,Аптека Бережливых,,
way,323213792,Аптэка - Аптека,,
node,9409968417,ЗТП-189,,
node,9949296217,КТП--558,,
node,9739334457,КТП-342,,
node,9697779217,КТП-348,,
node,9489810917,КТПП-17,,
node,9837951517,КТПП-224,,
node,9486259717,КТПП-295,,
node,9516447117,КТПП-334,,
node,9497986617,МТП-1,,
node,9497938917,МТП-2,,
node,9697654017,МТП-217,,
node,4421041496,Мелисса Аптека №7,,
node,9895163417,ТП-197,,
node,9799095417,ТП-22,,
node,9568656517,ТП-303,,
node,9717893117,ТП-368,,
node,9544940317,ТП-47,,
node,9918917718,ТП-6,,
