osm_type,osm_id,name,name:be,name:ru
node,4349434291,Азбукавет,,
node,6979031280,Айболит,,
node,8026222381,Айболит,,
way,1079403085,Айболит,,
node,8907432292,АйболитВет,,
node,5500537821,Айдавет,,
node,4398879908,Альфа Вет,,
node,4293742689,Альфа-Вет,,
node,8118844594,Альфа-Вет,,
node,5283748321,Альфа-вет,,
node,5982331486,Барановическая городская ветеринарная станция,,
node,5982334185,Барановичская городская ветеринарная станция,,
way,447266617,Берёзовская районная ветеринарная станция,,
way,101328529,Брестская городская ветеринарная станция,,
way,208415700,"ВСУ ""Чериковская районная ветеринарная станция""",,
way,808917166,ВСУ «Краснопольская районная ветеринарная станция»,,
node,5502951722,Ваш питомец,,
node,4992129824,Вет Мир,,
node,8771576018,Вет Мир,,
node,1488944847,Вет. лечебница,,
node,1190162819,Вет. станция Ленинского р-на г.Минска,,
node,6594398985,ВетСпектр,,
node,7408942005,ВетЭксперт,,
way,1105985257,Ветаптека,,
node,9727002868,Ветаптека Друг,,
node,7764926974,Ветврач,,
way,299261545,Ветеренария,,
way,302878650,Ветеренарная аптека,,
node,9921879096,Ветеринар,,
node,5088313789,"Ветеринарная аптека ""Доктор Вет""",,
way,48184373,Ветеринарная больница,,
node,6388093675,"Ветеринарная клиника ""Питомец""",,
node,5664858173,Ветеринарная клиника 9 Шанс,,
node,7750372959,Ветеринарная клиника Аптека,,
node,4710075389,Ветеринарная клиника Воробьева,,
node,3627679927,Ветеринарная клиника и аптека,,
node,8939074004,Ветеринарная клиника центра конного спорта,,
way,209379670,Ветеринарная лаборатория,,
way,447265473,Ветеринарная лаборатория,,
node,1545420151,Ветеринарная лечебница,,
node,1679472232,Ветеринарная лечебница,,
way,180580307,Ветеринарная поликлиника Доктора Орлова,,
node,5316619655,Ветеринарная помощь,,
way,286787917,Ветеринарная районная лаборатория,,
node,4964279171,Ветеринарная станция Октябрьского района г.Минска,,
node,3260110261,Ветеринарная станция Первомайского района,,
node,2988282697,Ветеринарный кабинет,,
node,6680118220,Ветеринарный кабинет,,
way,72039435,"Ветеринарный кабинет, аптека",,
node,3947836177,Ветеринарный магазин,,
node,5437004221,Ветеринарный магазин «Оскар»,,
node,9897495291,"Ветеринарный реабилитационный центр ""Рехабилис""",,
way,86758980,"Ветеринарный центр ""На Казимировке""",,
node,7836841186,Ветзооцентр,,
node,4472868603,Веткабинет,,
node,5873240916,Ветклиника доктора Саватеева,,
way,240474168,Ветлебница,,
way,1081079079,Ветлечебница,,
node,3937711361,"Ветлечебница ""Друг""",,
way,264403085,Ветлечебница участковая,,
node,4157178591,Ветэрынар,,
way,300294630,Воропаевская участковая ветлечебница,,
node,5631927121,"ГВСУ ""Бобруйская межрайонная ветеринарная лаборатория""",,
node,4222484692,"ГУ ""Слуцкая районная Ветеринарная станция""",,
way,593739329,"ГУ""Зельвенская Райветстанция""",,
node,6388911375,Главное хвост,,
way,151592302,Глубокская районная ветеринарная станция,,
way,275237260,Гомельская областная ветеринарная лаборатория,,
node,5348053894,Городская Ветклиника,,
way,376345652,Городская ветеринарная станция,,
node,5001741266,Государственная ветеринарная клиника,,
way,586331287,Государственная участковая ветеринарная лечебница Московского района,,
node,8757549803,Д-Вет,,
way,59260058,Добровет,,
node,2267128140,Доктор Дог,,
node,9187840976,Доктор Сет,,
node,2760147846,Друг,,
way,145277356,ЖеняВет,,
node,9033971532,Здоровый друг,,
node,2309765722,Зеленые Вет-линии,,
node,9296329712,ЗеленыеВетЛинии,,
node,6185396577,ЗооВет,,
node,4320088019,Зоокрама,,
node,6794415257,Кот Бегемот,,
node,5866507485,Кот и Пес,,
node,6419509189,Крупская РВС,,
way,278280541,Малоритская районная ветеринарная станция,,
way,25392385,Минская областная ветеринарная лаборатория,,
way,631389192,"Могилевская областная ветеринарная лаборатория, ВСУ",,
way,682285162,Молчадская ветлечебница,,
way,70460885,Мультивет,,
way,285311270,Мядельской участковой ветеринарной лечебницы,,
node,4948160221,На Сыдько,,
node,8724076148,Неовет Плюс,,
node,1119735130,Новополоцкая городская ветеринарная станция,,
node,5012701921,Петс Хэлс,,
node,9904725310,Пинская городская ветеринарная станция,,
way,101396330,ПолиВетЦентр,,
way,103398741,Радушный лекарь,,
node,6611871911,Районная ветеринарная станция,,
way,27900075,Районная ветеринарная станция,,
way,40127898,Районная ветеринарная станция,,
node,6355025185,Росская Участковая Ветеринарная Лечебница,,
node,8190951993,Сас энимал сервис,,
way,302588099,Свислочская РайВет станция,,
way,156001451,Семенная,,
node,7533520010,Семь жизней,,
way,183884231,Слонимская райветстанция,,
way,361274860,Слуцкая городская ветеринарная станция,,
node,5609940822,СпектрумВет,,
node,4924745660,Сёма,,
node,4139163292,Умная ветеринария,,
node,8411138918,Умная ветеринария,,
way,285863586,Учреждение «Наровлянская районная ветеринарная станция»,,
way,785609431,"Хойникская районная ветеринарная станция, ГУ",,
way,401772500,Хомская участковая ветеринарная лечебница,,
node,4112028189,Четыре лапы,,
way,275353909,Шумилинская райветстанция,,
node,8939073994,ЭхоВет,,
node,2311120205,Ярош,,
way,313393656,вет. лаб.,,
node,10001951990,ветклиника,,
