osm_type,osm_id,name,name:be,name:ru
node,4503926885,ВетПрофи,ВетПрофі,
node,6339793186,"Ветеринарная клиника ""Девять жизней""","Ветэрынарная клініка ""Дзевяць жыццяў""",
node,5460279074,Ветеринарная станция Московского района,Ветэрынарная станцыя Маскоўскага раёна,
node,5460279075,Ветеринарная станция Фрунзенского района,Ветэрынарная станцыя Фрунзенскага раёна,
node,838853783,Ветеринарная станция Центрального района,Ветэрынарная станцыя Цэнтральнага раёна,
node,5194541422,Кот и пёс,Кот і пёс,
node,5460299265,Фауна города,Фауна горада,
node,3095361626,ветлечебница,ветлякарня,
way,446413232,ветлечебница,ветлякарня,
way,183862547,ветстанция,ветстанцыя,
