osm_type,osm_id,name,name:be,name:ru
node,5177883769,Велес,,Велес
node,4370962504,ВетМедЦентр,,ВетМедЦентр
node,3143649660,"Ветеринарная аптека ""Стрелка""",,"Ветеринарная аптека ""Стрелка"""
node,4552083196,Ветеринарная клиника,,Ветеринарная клиника
node,5694505123,Ветеринарная клиника,,Ветеринарная клиника
way,326054517,Ветеринарная клиника Котофеич,,Ветеринарная клиника Котофеич
node,5027746821,Ветеринарная районная клиника,,Ветеринарная районная клиника
node,4358541723,Ветеринарная станция Заводского района г. Минска,,Ветеринарная станция Заводского района г. Минска
node,1346254109,Ветеринарный центр доктора Базылевского,,Ветеринарный центр доктора Базылевского
node,9155984382,Ветеринарный центр доктора Базылевского,,Ветеринарный центр доктора Базылевского
node,4469136089,Ветпомощь,,Ветпомощь
way,27900298,Витебская городская ветеринарная станция,,Витебская городская ветеринарная станция
node,4847923322,Дзержинская райветстанция,,Дзержинская райветстанция
node,7490607285,КоТи,,КоТи
node,6047018290,Колобок,,Колобок
way,209182015,Кричевская районная ветеринарная станция,,Кричевская районная ветеринарная станция
node,7607690718,Мокрый нос,,Мокрый нос
node,4537493101,Пес и кот,,Пес и кот
way,98727548,Райветстанция,,Райветстанция
way,159948337,Райветстанция,,Райветстанция
node,4705638889,Центр ветеринарной ортопедии и травмотологии,,Центр ветеринарной ортопедии и травмотологии
way,95062011,ЧСПУП «Гомельский зооветснаб»,,ЧСПУП «Гомельский зооветснаб»
node,4518938092,ветучасток,,ветучасток
node,4695021005,солигорская ветеринарная клиника,,солигорская ветеринарная клиника
