osm_type,osm_id,name,name:be,name:ru
way,279112555,"""Лечебный"" корпус",,
way,341436913,3-я Городская Клиническая больница,,
way,25391140,4 ГКБ - Урологический корпус,,
way,25391145,4 ГКБ Административный корпус,,
way,400527134,4 ГКБ Терапевтический корпус,,
way,25391153,4 ГКБ Хирургический корпус,,
way,825766114,5ый корпус (Кардиологическое отделение №2),,
way,86762345,Iнфекцыйны корпус,,
way,217829226,«Запольская сельская участковая больница»,,
way,25327667,Администр.-учебный корпус,,
way,25327693,Администр./терапевт./гинеколог. корпуса,,
way,29146977,Административно-хозяйственный корпус,,
way,102316528,Административный корпус ГКБ №5,,
way,272742943,Акушерский корпус,,
way,400043853,Амбулатория,,
way,767699043,Амбулатория,,
way,281556489,Амбулатория врачебная,,
way,243647102,Антопольская городская больница,,
way,438127391,БСУ,,
way,609693078,Бобровичская участковая больница,,
way,293236869,Большая аудитория,,
way,557990602,Борковичская больница,,
relation,3220412,Ветковская районная больница,,
way,29125423,Вспомогательный корпус №8,,
way,86760301,Галоўны лячэбны корпус,,
way,86756976,Гастроэнтерологический корпус,,
way,301606746,Гастроэнтерологическое и неврологическое отделения,,
way,25388178,Гинекологический корпус,,
way,383668473,Гинекологический корпус,,
way,102316527,Главный корпус ГКБ №5,,
way,168539600,Гомельская городская клиническая больница № 3,,
way,168539717,Гомельский областной клинический госпиталь инвалидов Отечественной войны,,
way,42770792,"Гомельский областной наркологический диспансер, наркологическое отделение",,
way,95098968,Городская больница скорой медицинской помощи,,
way,385735102,Городская клиническая больница № 10,,
way,844071202,Дарагановская больница сестринского ухода,,
way,383668475,Дезблок,,
way,209201372,Детская районная больница,,
way,234302385,Детское инфекционное отделение,,
way,37724896,Диагностический корпус,,
way,86323211,Ждановическая Амбулатория,,
way,756062654,Забелышинская амбулатория врача общей практики,,
way,352272203,Зазерская больница сестринского ухода,,
way,77890649,ИНФЕКЦИЯ,,
way,338793219,Ильичевская амбулатория общей практики,,
way,234302430,Инфекционное отделение,,
way,75136035,Климовическая больница,,
way,210212582,Клинико-диагностическая лаборатория,,
way,185047141,Княжицкая амбулатория общей практики,,
relation,5710569,Кожан-Городокская участковая больница,,
way,102844076,Комайская участковая больница,,
relation,27974,Консультативно-диагностический корпус,,
way,337537554,Кормянское ЦРБ,,
way,367680242,Короватичская больница сестринского ухода,,
way,236695806,Коровчинская амбулатория,,
way,25320812,Корпус 1,,
way,147730131,Корпус аднаўленчага лячэння,,
way,328730628,Корпус для выздоравливающих,,
way,777807039,Корпус хурургии и трансплантологии,,
way,29125419,Корпус № 2,,
way,157519919,Кревская участковая Больница,,
way,269769304,Криничанская амбулатория,,
way,366293167,Крупская центральная районная больница,,
way,281067266,ЛОР,,
way,25389179,Лаборатории научного отдела,,
relation,14026454,"Лечебно-диагностический корпус ""Западный""",,
way,383476561,Лечебно-реабилитационный комплекс,,
way,144014799,Лечебный корпус №1,,
way,86757377,Лечебный корпус №2,,
way,86763285,Лечебный корпус №3,,
way,215188551,Липеньская врачебная амбулатория,,
node,3331454611,Лопатинский фельдшерско-акушерский пункт,,
way,652069060,Лясковичская сельская участковая больница,,
relation,3187581,Ляховичская центральная районная больница,,
way,25323410,МГКОД,,
way,293236867,МРТ,,
way,142411550,Медико-санитарная часть ОАО «Гродно Азот»,,
way,115822495,Мозырский городской родильный дом,,
relation,3273227,Мозырский межрайонный противотуберкулезный диспансер,,
way,234302544,Морг,,
way,278289163,"Морг УЗ ""Малоритская ЦРБ""",,
way,102316530,Неврологический корпус ГКБ №5,,
node,3722856549,Нивская врачебная амбулатория общей практики,,
way,431571799,Николаевская участковая больница,,
way,356605360,Нисимковичская больница сестринского ухода,,
way,25322836,Новый взгляд (Новое зрение),,
way,706227461,ОСП «Горочичская амбулатория врача общей практики»,,
relation,3235864,Октябрьская ЦРБ,,
way,43177832,Онкологическая больница,,
way,315425422,Осовецкая участковая больница,,
way,235386267,Остринская городская больница,,
way,322328718,Отделение реабилитации «Атолинской больницы»,,
way,209213830,Отделение скорой медицинской помощи,,
way,25327647,Офтальмологический диагностический центр,,
way,25327684,Офтальмологический корпус,,
way,301606747,Офтальмологическое и гнойно-оториноларингологическое отделения,,
way,281067263,Офтальмологическое отделение,,
way,331858348,Оховская больница,,
way,276390728,Паричская поселковая больница,,
way,198341842,Патологоанатомическое отделение,,
way,147940701,Первомайская районная больница,,
way,373908007,Першайская врачебная амбулатория,,
way,344728441,Пинская инфекционная больница,,
way,25388172,Подстанция №8 скорой медицинской помощи,,
way,98784550,Поликлиника Поставской ЦРБ,,
way,197477503,"Прачечная, дезблок",,
way,152181355,"Приемное отделение, стационар",,
way,460964529,Прозорокская участковая больница,,
way,185271887,РНПЦ Трансплантации органов и тканей,,
way,136179078,РНПЦ эпидемиологии и микробиологии,,
way,264745856,Радиологическое отделение,,
way,289955023,Радиотехнический корпус,,
way,399165125,Реабилитационный центр для детей инвалидов,,
way,285404524,Реабилитационный центр № 2,,
way,234302550,Реанимация,,
way,695916770,Рентген-кабинет,,
relation,2245550,Республиканский научно-практический центр радиационной медицины и экологии человека,,
way,25321400,Республиканский центр медицинской реабилитации и бальнеолечения,,
way,552150449,Рогинская больница сестринского ухода,,
way,25323425,Родильный дом №1,,
way,447954354,Родильный дом №5,,
way,25322769,Родильный дом №6,,
way,79547918,Самохваловичская амбулатория,,
way,437293042,Санаторий Дудинка,,
way,179250267,Светиловичская участковая больница,,
way,157205483,Свирская участковая больница,,
way,388242755,Семежевская участковая больница,,
way,41160225,Серологическое отделение,,
way,274215245,Слободская участковая больница,,
way,301101142,Старицкая участковая больница,,
way,169781562,Стационар,,
way,229815470,Стационар,,
way,383476573,Стационар,,
way,25320352,Стоматология №12,,
way,113666329,Тальковская участковая больница,,
way,200604328,Терапевтическиий корпус,,
way,142664933,Травматологическое отделение,,
way,328658690,"УЗ ""Малоритская ЦРБ""",,
way,388244595,"УЗ ""Мозырская ЦГП""",,
way,155261123,"УЗ ""Новолукомльская ЦРБ""",,
relation,5248052,УЗ «Бобруйский межрайонный онкологический диспансер»,,
way,171997288,Улуковская участковая больница,,
way,37442803,Физиотерапевтический корпус,,
way,294831161,Филиал № 1 Минской ЦРБ «Атолинская больница»,,
way,289955024,Хирургический корпус № 1,,
way,35810300,Хирургический корпус № 2,,
way,234302434,Хирургическое отделение,,
way,25320911,Хозблок №1,,
way,25320877,Хозблок №2,,
way,350113542,Холопеничская горпоселковая больница,,
way,211444389,Хотимская центральная районная больница,,
way,69295468,ЦРБ,,
node,3858747858,"Центр реабилитации ""Право на жизнь""",,
way,157012281,Центральная районая больница,,
way,287277339,инфекция,,
way,25319541,морг,,
way,300009815,скидельская больница,,
