osm_type,osm_id,name,name:be,name:ru
way,279112555,"""Лечебный"" корпус",,"""Лечебный"" корпус"
way,25321742,22 городская поликлиника для взрослых,,22 городская поликлиника для взрослых
way,25394311,25-я городская детская поликлиника,,25-я городская детская поликлиника
way,341436913,3-я Городская Клиническая больница,,3-я Городская Клиническая больница
way,25391140,4 ГКБ - Урологический корпус,,4 ГКБ - Урологический корпус
way,25391145,4 ГКБ Административный корпус,,4 ГКБ Административный корпус
way,400527134,4 ГКБ Терапевтический корпус,,4 ГКБ Терапевтический корпус
way,25391153,4 ГКБ Хирургический корпус,,4 ГКБ Хирургический корпус
way,265408856,4-я Городская поликлиника,,4-я Городская поликлиника
way,825766114,5ый корпус (Кардиологическое отделение №2),,5ый корпус (Кардиологическое отделение №2)
way,217829226,«Запольская сельская участковая больница»,,«Запольская сельская участковая больница»
way,25327667,Администр.-учебный корпус,,Администр.-учебный корпус
way,25327693,Администр./терапевт./гинеколог. корпуса,,Администр./терапевт./гинеколог. корпуса
way,25393997,Административно-лечебный корпус,,Административно-лечебный корпус
way,29146977,Административно-хозяйственный корпус,,Административно-хозяйственный корпус
way,102316528,Административный корпус ГКБ №5,,Административный корпус ГКБ №5
way,272742943,Акушерский корпус,,Акушерский корпус
way,400043853,Амбулатория,,Амбулатория
way,281556489,Амбулатория врачебная,,Амбулатория врачебная
way,243647102,Антопольская городская больница,,Антопольская городская больница
way,184870679,Архивный корпус,,Архивный корпус
way,438127391,БСУ,,БСУ
way,211223937,Бездедовичская больница сестринского ухода,,Бездедовичская больница сестринского ухода
way,609693078,Бобровичская участковая больница,,Бобровичская участковая больница
way,293236869,Большая аудитория,,Большая аудитория
way,557990602,Борковичская больница,,Борковичская больница
way,401580221,Велятичская участковая больница,,Велятичская участковая больница
relation,3220412,Ветковская районная больница,,Ветковская районная больница
way,29125423,Вспомогательный корпус №8,,Вспомогательный корпус №8
way,86756976,Гастроэнтерологический корпус,,Гастроэнтерологический корпус
way,301606746,Гастроэнтерологическое и неврологическое отделения,,Гастроэнтерологическое и неврологическое отделения
way,25388178,Гинекологический корпус,,Гинекологический корпус
way,383668473,Гинекологический корпус,,Гинекологический корпус
way,35809946,Главный корпус,,Главный корпус
way,224966671,Главный корпус,,Главный корпус
way,102316527,Главный корпус ГКБ №5,,Главный корпус ГКБ №5
way,665659734,Гольшанская амбулатория,,Гольшанская амбулатория
way,168539600,Гомельская городская клиническая больница № 3,,Гомельская городская клиническая больница № 3
way,179410086,Гомельская областная клиническая психиатрическая больница,,Гомельская областная клиническая психиатрическая больница
way,368320674,Гомельская областная туберкулезная клиническая больница,,Гомельская областная туберкулезная клиническая больница
way,168539717,Гомельский областной клинический госпиталь инвалидов Отечественной войны,,Гомельский областной клинический госпиталь инвалидов Отечественной войны
way,42770792,"Гомельский областной наркологический диспансер, наркологическое отделение",,"Гомельский областной наркологический диспансер, наркологическое отделение"
way,87374692,Городская Больница №2,,Городская Больница №2
way,95098968,Городская больница скорой медицинской помощи,,Городская больница скорой медицинской помощи
way,385735102,Городская клиническая больница № 10,,Городская клиническая больница № 10
way,213426247,Горская врачебная амбулатория,,Горская врачебная амбулатория
way,487144278,Гоцкая врачебная амбулатория,,Гоцкая врачебная амбулатория
way,844071202,Дарагановская больница сестринского ухода,,Дарагановская больница сестринского ухода
way,383668475,Дезблок,,Дезблок
way,29125652,"Дезинфекторская, Патологоанатомическое отделение",,"Дезинфекторская, Патологоанатомическое отделение"
way,209201372,Детская районная больница,,Детская районная больница
way,234302385,Детское инфекционное отделение,,Детское инфекционное отделение
way,37724896,Диагностический корпус,,Диагностический корпус
way,86323211,Ждановическая Амбулатория,,Ждановическая Амбулатория
way,29124876,Женская консультация № 5,,Женская консультация № 5
way,756062654,Забелышинская амбулатория врача общей практики,,Забелышинская амбулатория врача общей практики
way,352272203,Зазерская больница сестринского ухода,,Зазерская больница сестринского ухода
way,77890649,ИНФЕКЦИЯ,,ИНФЕКЦИЯ
way,338793219,Ильичевская амбулатория общей практики,,Ильичевская амбулатория общей практики
way,234302430,Инфекционное отделение,,Инфекционное отделение
way,143813022,Инфекционный корпус,,Инфекционный корпус
way,224966667,Инфекционный корпус,,Инфекционный корпус
way,75136035,Климовическая больница,,Климовическая больница
way,210212582,Клинико-диагностическая лаборатория,,Клинико-диагностическая лаборатория
way,185047141,Княжицкая амбулатория общей практики,,Княжицкая амбулатория общей практики
relation,5710569,Кожан-Городокская участковая больница,,Кожан-Городокская участковая больница
way,102844076,Комайская участковая больница,,Комайская участковая больница
relation,27974,Консультативно-диагностический корпус,,Консультативно-диагностический корпус
