osm_type,osm_id,name,name:be,name:ru
way,330855548,10-я городская клиническая больница,"УАЗ ""10 гарадская клінічная бальніца»",УЗ «10 городская клиническая больница»
way,344303797,11-я городская клиническая больница (отделение микрохирургии глаза и хоспис),11-я гарадская клінічная бальніца,11-я городская клиническая больница
way,381463371,2-й городской противотуберкулезный диспансер,2-гі гарадскі супрацьтуберкулёзны дыспансэр,УЗ «2-й городской противотуберкулезный диспансер»
way,77458267,5-я городская клиническая больница,5-я гарадская клінічная бальніца,Учреждение здравоохранения «5-я городская клиническая больница»
way,27896623,Витебская городская клиническая больница № 1,Віцебская гарадская клінічная бальніца № 1,Городская клиническая больница №1
way,27896684,Городская центральная клиническая больница,Віцебская гарадская цэнтральная клінічная бальніца,Витебская городская центральная клиническая больница
node,4252740438,Патологоанатомическое отделение детской патологии,Паталёгаанатомічнае аддзяленне дзіцячай паталогіі,Отделение детской патологии
node,2459135221,Поликлиника,Паліклініка,Поликлиника №3 Отделение по обслуживанию микрорайона Сокол
way,341667987,РНПЦ неврологии нейрохирурги,РНПЦ неўралогіі і нейрахірургіі,РНПЦ неврологии и нейрохирургии
way,293710627,Республиканский научно-практический центр „Мать и дитя“,Цэнтр «Маці і дзіця»,ГУ «Республиканский научно-практический центр „Мать и дитя“»
way,272808249,Станцыя хуткай медычнай дапамогі,Станцыя хуткай медыцынскай дапамогі,Станция скорой медицинской помощи
