osm_type,osm_id,name,name:be,name:ru
node,3583770551,Stomtravel - стоматология,,
node,8375041268,Альфа аптека №27,,
node,2262774945,"Аптека ""Фарма - Ком""",,
node,7884507785,Аптека N30  ООО Ремедика,,
node,8718729091,Аптека Бережливых,,
node,9867501383,Аптека Диалпро,,
node,9849503543,Аптека № 54,,
node,9772989345,Аптека № 57 второй категории,,
node,9795328304,Аптека №166,,
node,9240380954,Аптека №17 Лигматон,,
node,9867985385,ВетАптека,,
node,3883210416,"Ветеринарная ""Вита-Влас""",,
way,253766857,Вита,,
way,1072192003,Высоковская городская больница,,
way,649739398,Горбольница г.Дисна,,
node,4278997024,Медарт,,
node,9851052829,Остров здоровья,,
node,9851093870,Остров здоровья,,
node,9851095331,Остров здоровья,,
node,9851095332,Остров здоровья,,
node,9851095333,Остров здоровья,,
node,9851097294,Остров здоровья,,
node,9851097295,Остров здоровья,,
node,9851097296,Остров здоровья,,
node,9851097297,Остров здоровья,,
way,90275100,Отделение кишечной инфекции,,
node,3024841848,Профи-Дент,,
way,378150335,Роготновская амбулатория,,
node,8693440766,Смайл,,
node,3205832181,Столичная Аптека №9,,
node,4794918739,Стоматология Динасмед,,
way,378316417,Узмёнский ФАП,,
way,561749429,ФАП,,
way,657417273,ФАП,,
way,671918158,ФАП,,
way,1069026043,ФАП,,
way,234417433,Фельдшерский акушерский пункт,,
node,9817829473,Центр здорового сна,,
relation,14346821,Центральная Каменецкая районная больница,,
way,1068924266,Чудинская амбулатория,,
node,6691747785,Ясса № 10,,
