osm_type,osm_id,name,name:be,name:ru
way,330855548,10-я городская клиническая больница,"УАЗ ""10 гарадская клінічная бальніца»",УЗ «10 городская клиническая больница»
way,344303797,11-я городская клиническая больница (отделение микрохирургии глаза и хоспис),11-я гарадская клінічная бальніца,11-я городская клиническая больница
way,381463371,2-й городской противотуберкулезный диспансер,2-гі гарадскі супрацьтуберкулёзны дыспансэр,УЗ «2-й городской противотуберкулезный диспансер»
way,77458267,5-я городская клиническая больница,5-я гарадская клінічная бальніца,Учреждение здравоохранения «5-я городская клиническая больница»
node,9533446696,ADEL-Эканом №53,Адэль-Эканом №53,Адель-Эконом №53
node,8374794756,Альфа Аптека №3,Доктар А №3,Доктор А №3
node,8374794757,Альфа Аптека №8,Доктар А №8,Доктор А №8
node,8374794758,Альфа Аптека №9,Доктар А №9,Доктор А №9
node,8556352619,Альфа аптека №12,Доктар А №12,Доктор А №12
node,3034172333,Альфа аптека №14,Доктар А №4,Доктор А №4
node,1427165572,"Аптека "" Юнифарм ""","Аптэка ""Юніфарм""","Аптека ""Юнифарм """
node,7120197022,Аптека №13 Лигматон,Аптэка,Аптека
node,1599548613,Аптека №4 Лигматон,Лігматон № 4,Лигматон
node,4666241395,Аптека №8 Лигматон,Аптэка №8,Аптека №8
node,306068256,"ГУЗ ""ГЦГДКП"" Филиал 5","ГУЗ ""Гомельская цэнтральная гарадская дзіцячая клінічная паліклініка"" Філіял 5","ГУЗ ""Гомельская центральная городская детская клиническая поликлиника"" Филиал 5"
node,540986619,"ГУЗ ""Гомельская городская клиническая больница №2""",Чыгуначная бальніца,Гомельская городская клиническая больница #2
node,6109613786,Доктор А №10,Доктар А,Доктор А
node,9889986745,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986746,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986747,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986748,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986749,Зеленый лист,Зялёны ліст,Зелёный лист
node,2712556013,Любимая аптека,"""Любімая аптэка""","""Любимая аптека"""
node,4976787812,Медэксперт-Плюс,"ТАА "" Медэксперт-Плюс»",ООО «Медэксперт-Плюс»
node,4252740438,Патологоанатомическое отделение детской патологии,Паталёгаанатомічнае аддзяленне дзіцячай паталогіі,Отделение детской патологии
node,4426898499,Планета Здоровья №20,Планета Здароўя №20,Планета здоровья №20
node,2154238063,Планета Здоровья №9,Планета Здароўя №9,Планета здоровья №9
node,2459135221,Поликлиника,Паліклініка,Поликлиника №3 Отделение по обслуживанию микрорайона Сокол
way,25312738,Поликлиника Военной академии,П-Ка Ваен.Акадэміі №1,П-Ка Воен.Академии №1
way,244009177,Поликлиника № 9,Паліклініка № 9,ГЦГП филиал № 9
way,25326988,Поликлиника №11,Паліклініка #11,11-я городская поликлиника
way,341667987,РНПЦ неврологии нейрохирурги,РНПЦ неўралогіі і нейрахірургіі,РНПЦ неврологии и нейрохирургии
node,1481061801,Стоматологическая поликлиника,Дзіцячая стаматалагічная паліклініка,Детская стоматологическая поликлиника
