osm_type,osm_id,name,name:be,name:ru
way,247860088,"""Детская Консультация""",,"""Детская Консультация"""
node,5772479908,"""Медцентр - МТЗ"" Здравпункт ЛЦ1",,"""Медцентр - МТЗ"" Здравпункт ЛЦ1"
node,4200199596,"""Элегия""",,"""Элегия"""
node,8831064117,32 Карата,,32 Карата
way,128794470,4-я городская детская клиническая поликлиника,,4-я городская детская клиническая поликлиника
node,3623358795,4-я женская консультация,,4-я женская консультация
way,25327349,8-я Стоматология,,8-я Стоматология
node,8548257721,А Клиника,,А Клиника
node,5363353621,АРС Валео,,АРС Валео
node,1652609630,АСА Дент,,АСА Дент
node,4719264289,Авиценна,,Авиценна
way,410887161,Административно-лечебный корпус,,Административно-лечебный корпус
way,549197918,Азбука здоровья,,Азбука здоровья
node,7826786395,Акушер,,Акушер
node,4550601092,Алекс-хэлп,,Алекс-хэлп
node,4831012123,Алекстри,,Алекстри
node,1558012185,АльфаМед,,АльфаМед
node,7695958202,Альфамед,,Альфамед
node,5867853134,Амадей Клиник,,Амадей Клиник
way,159801422,Амбулатория врача общей практики,,Амбулатория врача общей практики
node,6126841235,Амбулатория поликлиники №3,,Амбулатория поликлиники №3
node,6518149209,Амедея,,Амедея
node,8868230726,Андрей Сергеевич Миньков,,Андрей Сергеевич Миньков
way,395536851,"Аптека ""Ванька-встанька""",,"Аптека ""Ванька-встанька"""
node,5937110245,Аптека бережливых,,Аптека бережливых
node,8531282679,Аптека бережливых,,Аптека бережливых
node,5827298795,Аптека бережливых №2,,Аптека бережливых №2
way,356331379,Бабичский ФАП,,Бабичский ФАП
way,224518933,Барановичская городская станция перелевания крови,,Барановичская городская станция перелевания крови
node,4648106889,Беатум-Дент,,Беатум-Дент
node,1487180872,БелОптика,,БелОптика
node,2381164695,Белевромед,,Белевромед
node,8652144082,Белоптика,,Белоптика
node,9446836973,Белоптика,,Белоптика
node,5761510532,Белсоно,,Белсоно
node,8287737959,Белэксподэнт,,Белэксподэнт
node,6380216497,Бердовская врачебная амбулатория,,Бердовская врачебная амбулатория
node,5904987979,Биар,,Биар
way,206352905,Бобруйская городская поликлиника № 4,,Бобруйская городская поликлиника № 4
node,306066875,Бобруйский наркодиспансер,,Бобруйский наркодиспансер
way,688247270,Борисовский психоневрологический дом-интернат,,Борисовский психоневрологический дом-интернат
way,81989877,Брестская городская больница паллиативной помощи Хоспис,,Брестская городская больница паллиативной помощи Хоспис
way,955636367,Брестская городская детская поликлиника#1,,Брестская городская детская поликлиника#1
way,245247209,Бытеньская врачебная амбулатория,,Бытеньская врачебная амбулатория
node,3789296874,Вайс-Дент,,Вайс-Дент
node,4588802292,Ванька-встанька,,Ванька-встанька
node,4592729832,Ваш Дантист,,Ваш Дантист
node,2621998328,Ваш доктор,,Ваш доктор
node,9178875289,Вердомичская амбулатория,,Вердомичская амбулатория
way,545997851,Веремейская амбулатория врача общей практики,,Веремейская амбулатория врача общей практики
way,660419435,Вертелишковская амбулатория,,Вертелишковская амбулатория
node,4953646121,Вестмедсервис,,Вестмедсервис
node,4460374893,Виамед,,Виамед
node,7652886548,Вивальди медика,,Вивальди медика
node,5513765951,Викодент,,Викодент
way,202715080,Вильчанская амбулатория,,Вильчанская амбулатория
node,5781574006,Виола медсервис,,Виола медсервис
node,5347033011,Виталимед,,Виталимед
node,5769990368,Внуки Гиппократа,,Внуки Гиппократа
node,8825413963,Водогрязелечебница,,Водогрязелечебница
way,203054523,Водогрязелечебница,,Водогрязелечебница
way,210765476,Вороновский районный центр гигиены и эпидемиологии,,Вороновский районный центр гигиены и эпидемиологии
node,6015020001,"Врачебно-Косметологический кабинет ""ГОККВД""",,"Врачебно-Косметологический кабинет ""ГОККВД"""
node,5226109985,Выписка новорожденных,,Выписка новорожденных
node,1398954765,ГУ «РНПЦ детской хирургии»,,ГУ «РНПЦ детской хирургии»
node,306068261,"ГУЗ ""ГЦГСП"" Филиал 5",,"ГУЗ ""ГЦГСП"" Филиал 5"
way,63566201,ГЦГП Филиал № 2,,ГЦГП Филиал № 2
node,5024614041,Гардент стайл,,Гардент стайл
node,5155923255,Гармония Дент,,Гармония Дент
node,6472503485,Гармония улыбки,,Гармония улыбки
node,9697662525,Генез,,Генез
node,7150451681,Гималаи,,Гималаи
node,4507057313,Главный корпус,,Главный корпус
node,3709147079,Глазная клиника,,Глазная клиника
node,1856372240,Голливуд Дентал,,Голливуд Дентал
way,249553598,Гомельская центральная городская поликлиника,,Гомельская центральная городская поликлиника
way,307086097,Горвальский фельдшерско-акушерский пункт,,Горвальский фельдшерско-акушерский пункт
way,360452275,Гордуновский ФАП,,Гордуновский ФАП
way,199796792,Горецкая районная поликлиника,,Горецкая районная поликлиника
way,699051642,Городская поликлиника Волковысской ЦРБ,,Городская поликлиника Волковысской ЦРБ
