osm_type,osm_id,name,name:be,name:ru
way,1279588125,Альбярцінскі трэйл,,Альбертинский трейл
way,1427291494,Альбярцінскі трэйл,,Альбертинский трейл
way,1431917734,Альбярцінскі трэйл,,Альбертинский трейл
way,1432569356,Альбярцінскі трэйл,,Альбертинский трейл
way,1432569357,Альбярцінскі трэйл,,Альбертинский трейл
way,1432570380,Альбярцінскі трэйл,,Альбертинский трейл
way,1425547227,Петралявіцкі трэйл,,Петралевичиский трейл
way,1427293663,Петралявіцкі трэйл,,Петралевичиский трейл
way,1425774555,Рышчыцкі трэйл,,Рыщицкий трейл
way,1431925211,Рышчыцкі трэйл,,Рыщицкий трейл
way,1435600231,Рышчыцкі трэйл,,Рыщицкий трейл
way,1435600232,Рышчыцкі трэйл,,Рыщицкий трейл
way,1371342190,Тэраса,,Терраса
