osm_type,osm_id,name,name:be,name:ru
node,275079939,ДКС Кордон,,ДКС Кордон
node,446064765,ДКС Кордон,,ДКС Кордон
node,3191165104,ДКС Кордон,,ДКС Кордон
node,3579301793,ДКС Кордон,,ДКС Кордон
node,4371143489,ДКС Кордон,,ДКС Кордон
node,4672011469,ДКС Кордон,,ДКС Кордон
node,5986912184,ДКС Кордон,,ДКС Кордон
node,6136453597,ДКС Кордон,,ДКС Кордон
way,112573008,Ливнепропуск,,Ливнепропуск
way,1113005507,Тропа здоровья,,Тропа здоровья
way,958566941,изчезающая,,изчезающая
way,1083798198,улица Серебряный Лес,,улица Серебряный Лес
