osm_type,osm_id,name,name:be,name:ru
way,503513306,Р45 (Зялёны калідор / Green Lane),Р45 (Зялёны калідор),Р45 (Зелёный коридор)
way,503513308,Р45 (Зялёны калідор / Green Lane),Р45 (Зялёны калідор),Р45 (Зелёный коридор)
way,489793660,Р45 (Зялёны калідор / Green channel),Р45 (Зялёны калідор),Р45 (Зелёный коридор)
way,489288308,Р45 (Чырвоны калідор / Red channel),Р45 (Чырвоны калідор),Р45 (Красный коридор)
way,489793656,Р45 (Чырвоны калідор / Red lane),Р45 (Чырвоны калідор),Р45 (Красный коридор)
way,503513299,Р45 (Чырвоны калідор / Red lane),Р45 (Чырвоны калідор),Р45 (Красный коридор)
way,503513302,Р45 (Чырвоны калідор / Red lane),Р45 (Чырвоны калідор),Р45 (Красный коридор)
way,503513310,Р45 (Чырвоны калідор / Red lane),Р45 (Чырвоны калідор),Р45 (Красный коридор)
way,503513312,Р45 (Чырвоны калідор / Red lane),Р45 (Чырвоны калідор),Р45 (Красный коридор)
way,489288305,Р45 Зялёны калідор / Green Lane,Р45 (Зялёны калідор),Р45 (Зелёный коридор)
way,503513296,Р45 Зялёны калідор / Green Lane,Р45 (Зялёны калідор),Р45 (Зелёный коридор)
way,503513298,Р45 Зялёны калідор / Green Lane,Р45 (Зялёны калідор),Р45 (Зелёный коридор)
