osm_type,osm_id,name,name:be,name:ru
way,364284173,1-ая Партизанская улица,,
way,1206588759,19-я Приозерная улица,,
way,1218565744,Боевой переулок,,
way,1105758811,Веселая улица,,
way,28551610,Виноградная,,
way,1211941940,Вишневая,,
way,40957905,Гончарова,,
way,313156455,Молодёжный проспект,,
way,313156458,Молодёжный проспект,,
way,571419545,Молодёжный проспект,,
way,1221771429,Молодёжный проспект,,
way,1221771430,Молодёжный проспект,,
way,1221771431,Молодёжный проспект,,
way,166091780,Надозерная улица,,
way,1105758808,Строителей улица,,
way,298292519,Твердово улица,,
way,28551622,Цветная,,
way,335482392,Шумщинская улица,,
way,335482409,Шумщинская улица,,
way,321409232,Южная улица,,
way,299105167,вуліца Новы Кучын,,
way,1211934773,вуліца Новы Кучын,,
way,1217510919,переулок Избовичи,,
way,30738639,переулок Марковичи,,
