osm_type,osm_id,name,name:be,name:ru
way,1426690758,1-ы Дукорскі завулак,,1-й Дукорский переулок
way,1426690757,2-і Дукорскі завулак,,2-й Дукорский переулок
way,1426690756,3-і Дукорскі завулак,,3-й Дукорский переулок
way,103757053,Лесная 10,,Лясная 10
way,341726495,Лясной завулак,,Лесной переулок
way,1470367736,вулiца 17-га Верасня,,улица 17-го Сентября
way,140456380,вулiца Камсамольская,,улица Комсомольская
way,140456397,вулiца Новая,,улица Новая
way,1469780872,вулiца Прыпяцкая,,улица Припятская
way,1469858201,вулiца Прыпяцкая,,улица Припятская
way,1469858202,вулiца Светлая,,улица Светлая
way,656328118,завулак Лазневы,,переулок Банный
way,42467806,праезд Эмiля Чэчка,,проезд Эмиля Чечко
way,1203948243,праезд Эмiля Чэчка,,проезд Эмиля Чечко
