osm_type,osm_id,name,name:be,name:ru
way,672637158,1-й Малиновый проезд,,1-й Малиновый проезд
way,694584172,1-й Родниковый переулок,,1-й Родниковый переулок
way,28528765,1-я Линия,,1-я Линия
way,178017364,1-я Сливовая улица,,1-я Сливовая улица
way,178017340,1-я Черничная улица,,1-я Черничная улица
way,746254192,1-я Южная улица,,1-я Южная улица
way,170982705,1-я улица Грушевка,,1-я улица Грушевка
way,265906673,1-я улица Надежды,,1-я улица Надежды
way,178017365,10-я Сливовая улица,,10-я Сливовая улица
way,428420912,10А улица,,10А улица
way,376063644,2-й Клейниковский переулок,,2-й Клейниковский переулок
way,672637159,2-й Малиновый проезд,,2-й Малиновый проезд
way,809653585,2-й Остромечевский переулок,,2-й Остромечевский переулок
way,102478839,2-й Родниковый переулок,,2-й Родниковый переулок
way,1044282404,2-й переулок Владимира Борисова,,2-й переулок Владимира Борисова
way,373203024,2-я Заходская улица,,2-я Заходская улица
way,373203025,2-я Заходская улица,,2-я Заходская улица
way,28528759,2-я Линия,,2-я Линия
way,178017315,2-я Малиновая улица,,2-я Малиновая улица
way,178017366,2-я Сливовая улица,,2-я Сливовая улица
way,178017336,2-я Черничная улица,,2-я Черничная улица
way,670947147,2-я улица Грушевка,,2-я улица Грушевка
way,195548751,3-й Дачный переулок,,3-й Дачный переулок
way,838188677,3-й Радужный переулок,,3-й Радужный переулок
way,675598215,3-й Речной переулок,,3-й Речной переулок
way,211448153,3-й Родниковый переулок,,3-й Родниковый переулок
way,1044282405,3-й переулок Владимира Борисова,,3-й переулок Владимира Борисова
way,178017368,3-я Сливовая улица,,3-я Сливовая улица
way,428420940,3А улица,,3А улица
way,28528754,4-я Линия,,4-я Линия
way,178017369,4-я Сливовая улица,,4-я Сливовая улица
way,428426131,4А улица,,4А улица
way,178017370,5-я Сливовая улица,,5-я Сливовая улица
way,178017371,6-я Сливовая улица,,6-я Сливовая улица
way,178017372,7-я Сливовая улица,,7-я Сливовая улица
way,178017373,8-я Сливовая улица,,8-я Сливовая улица
way,428420909,8А улица,,8А улица
way,178017374,9-я Сливовая улица,,9-я Сливовая улица
way,428420911,9А улица,,9А улица
way,427461764,Автолавочный тупик,,Автолавочный тупик
way,452508271,Алянская улица,,Алянская улица
way,406576477,Армянская улица,,Армянская улица
way,128282488,Арочный мост,,Арочный мост
way,1076927618,Белорусская улица,,Белорусская улица
way,100147684,Берёзовая улица,,Берёзовая улица
way,492702699,Берёзовая улица,,Берёзовая улица
way,542210797,Боровая улица,,Боровая улица
way,276472034,Боровинская улица,,Боровинская улица
way,766650099,Бородичевщинская улица,,Бородичевщинская улица
way,954033261,Бывшая Узкоколейка,,Бывшая Узкоколейка
way,859431209,Бэзовая улица,,Бэзовая улица
way,286292527,Веселушная улица,,Веселушная улица
way,618207972,Весенних дождей,,Весенних дождей
way,83016175,Весенняя улица,,Весенняя улица
way,275333331,Весенняя улица,,Весенняя улица
way,655312332,Весовая улица,,Весовая улица
way,59843918,Ветковский переулок,,Ветковский переулок
way,379084472,Воскресная улица,,Воскресная улица
way,1028631130,Воскресная улица,,Воскресная улица
way,319362586,Выжарская улица,,Выжарская улица
way,333624328,Гаранская улица,,Гаранская улица
way,279197149,Горынский переулок,,Горынский переулок
way,405307712,Даньковская улица,,Даньковская улица
way,405363397,Даньковская улица,,Даньковская улица
way,1000608290,Даньковская улица,,Даньковская улица
way,392180679,Деснокитская улица,,Деснокитская улица
way,1076907974,Детдомовская улица,,Детдомовская улица
way,498080185,Дикий проезд,,Дикий проезд
way,843151707,Дмитрия Зализняка,,Дмитрия Зализняка
way,279195238,Дожиночная улица,,Дожиночная улица
way,550836642,Дожиночная улица,,Дожиночная улица
way,54564707,Дружная улица,,Дружная улица
way,213439014,Дубовская улица,,Дубовская улица
way,672637152,Жасминовый проезд,,Жасминовый проезд
way,1076927621,Железнодорожная улица,,Железнодорожная улица
way,689671342,Жеребиловская улица,,Жеребиловская улица
way,425896288,Жужельная улица,,Жужельная улица
way,425896337,Жужельная улица,,Жужельная улица
way,37654520,Забережная улица,,Забережная улица
way,403227880,Забережная улица,,Забережная улица
way,403227888,Забережная улица,,Забережная улица
way,1028706064,Заболоцкая улица,,Заболоцкая улица
way,321534766,Задубенская улица,,Задубенская улица
way,1072822735,Задубенская улица,,Задубенская улица
way,379080911,Залозская улица,,Залозская улица
way,397588177,Заповедная улица,,Заповедная улица
way,101032020,Зарубская улица,,Зарубская улица
way,177851604,Зарубская улица,,Зарубская улица
way,89718411,Зеленхозная улица,,Зеленхозная улица
way,32804414,Зельвянский мост,,Зельвянский мост
way,1057716642,Земская улица,,Земская улица
way,599519772,Каскадная улица,,Каскадная улица
way,599519809,Каскадная улица,,Каскадная улица
way,239235200,Коммунистическая улица,,Коммунистическая улица
way,1076927616,Концевая улица,,Концевая улица
way,1013492469,Коптевская улица,,Коптевская улица
