osm_type,osm_id,name,name:be,name:ru
way,386996371,2-я Розовая улица,,2-я Розовая улица
way,472447682,3-я Слободская улица,,3-я Слободская улица
way,372796506,3-я Урожайная улица,,3-я Урожайная улица
way,117864139,4 Л-Я. Локомотив,,4 Л-Я. Локомотив
way,755509046,4-я Слободская улица,,4-я Слободская улица
way,405372932,6-1 линия,,6-1 линия
way,405372937,6-2 линия,,6-2 линия
way,351249990,Березино — Отрубок,,Березино — Отрубок
way,447714502,ГСПК 26 ряд 1,,ГСПК 26 ряд 1
way,447714488,ГСПК 26 ряд 10,,ГСПК 26 ряд 10
way,447714500,ГСПК 26 ряд 2,,ГСПК 26 ряд 2
way,429702923,ГСПК 26 ряд 3,,ГСПК 26 ряд 3
way,447714486,ГСПК 26 ряд 4,,ГСПК 26 ряд 4
way,447714498,ГСПК 26 ряд 5,,ГСПК 26 ряд 5
way,429702924,ГСПК 26 ряд 6,,ГСПК 26 ряд 6
way,447714494,ГСПК 26 ряд 7,,ГСПК 26 ряд 7
way,447714492,ГСПК 26 ряд 8,,ГСПК 26 ряд 8
way,447714490,ГСПК 26 ряд 9,,ГСПК 26 ряд 9
way,369245032,"Грабск 2,5км",,"Грабск 2,5км"
way,598918516,Клеверная улица,,Клеверная улица
way,29162618,"Конечная ""Химволокно""",,"Конечная ""Химволокно"""
way,312539298,Погон,,Погон
way,527353932,Подлеская улица,,Подлеская улица
way,789696019,Подлеская улица,,Подлеская улица
way,767699577,Птичий переулок,,Птичий переулок
way,498633168,РК Валошкавая,,РК Валошкавая
way,498158843,РК с/т Трактар,,РК с/т Трактар
way,755488267,Рельефная улица,,Рельефная улица
way,412644403,Соловьёвая улица,,Соловьёвая улица
way,235306832,Центральный проезд БарГУ,,Центральный проезд БарГУ
way,235357890,Центральный проезд БарГУ,,Центральный проезд БарГУ
way,242998132,Центральный проезд БарГУ,,Центральный проезд БарГУ
way,781099271,Чудный переулок,,Чудный переулок
way,231172379,улица Дубки,,улица Дубки
way,378972831,улица Жуковка,,улица Жуковка
way,378972834,улица Жуковка,,улица Жуковка
way,836199045,экотропа Бобровая заводь,,экотропа Бобровая заводь
