osm_type,osm_id,name,name:be,name:ru
way,1245806943,Греблевская улица,,Греблевская улица
way,413062775,Загатская улица,,Загатская улица
way,1259100037,Кобринская улица,,Кобринская улица
way,1233851991,Осовская улица,,Осовская улица
way,707306558,Первомайская улица,,Первомайская улица
way,1245852129,Райская улица,,Райская улица
way,1258955968,Советская улица,,Советская улица
way,115205331,Центральная улица,,Центральная улица
way,381016780,Центральная улица,,Центральная улица
way,1258955967,Центральная улица,,Центральная улица
way,163783166,улица Ленина,,улица Ленина
way,1259100041,улица Ленина,,улица Ленина
way,1259100044,улица Ленина,,улица Ленина
way,123434233,улица Юлиана Крачковского,,улица Юлиана Крачковского
way,431557133,улица майора Г.Н.Ковалёва,,улица майора Г.Н.Ковалёва
