osm_type,osm_id,name,name:be,name:ru
way,1419395645,Бывший аэродром Невель,,
way,1427488363,Въезд в пограничную полосу,,
way,1427488389,Въезд в пограничную полосу,,
way,428753512,Заречный переулок,,
way,1428113022,Кабан-штрассе,,
way,1410712755,Небольшой деревянный мостик,,
way,759033815,Пэсоцькая грабля,,
way,526677621,"Разбита лесовозами, проезд невозможен. Только трактор.",,
way,1120550941,"Разбита лесовозами, проезд невозможен. Только трактор.",,
way,303027671,Святые пески,,
way,496951694,Старобин - Горняк,,
way,120865634,Тропа с завалами,,
way,1429108878,Труба,,
way,999975493,завалы,,
way,1366196817,полевая дорога,,
way,800998331,экалагічная сцежка Тхароўка,,
