osm_type,osm_id,name,name:be,name:ru
way,301434416,Аллея Рейтана,,Аллея Рейтана
way,490202297,"Бывшая УЖД ""Большие Чучевичи - Гоцк""",,"Бывшая УЖД ""Большие Чучевичи - Гоцк"""
way,931180340,"Бывшая УЖД ""Большие Чучевичи - Гоцк""",,"Бывшая УЖД ""Большие Чучевичи - Гоцк"""
way,77066619,Бывшая Узкоколейка,,Бывшая Узкоколейка
way,517454467,Бывшая Узкоколейка,,Бывшая Узкоколейка
way,995469456,Бывшая Узкоколейка,,Бывшая Узкоколейка
way,289700592,Бывшая узкоколейка,,Бывшая узкоколейка
way,591594612,Выезд на стадион,,Выезд на стадион
way,586713068,Вьезд на поле,,Вьезд на поле
way,1044763644,Дорога к хутору Козлики,,Дорога к хутору Козлики
way,797645374,Дубовая тропа,,Дубовая тропа
way,797645381,Дубовая тропа,,Дубовая тропа
way,825349111,Дубовая тропа,,Дубовая тропа
way,842280279,"К СТ""Рубин""",,"К СТ""Рубин"""
way,618039892,К Свалке,,К Свалке
way,71512813,На тур. стоянку Болдук,,На тур. стоянку Болдук
way,521886091,На тур. стоянку Болдук,,На тур. стоянку Болдук
way,709026673,На тур. стоянку Болдук,,На тур. стоянку Болдук
way,948170461,На тур. стоянку Болдук,,На тур. стоянку Болдук
way,643131119,Насыпь бывшей узкоколейки,,Насыпь бывшей узкоколейки
way,281812620,Орликовская дорога,,Орликовская дорога
way,281812621,Орликовская дорога,,Орликовская дорога
way,314813299,Орликовская дорога,,Орликовская дорога
way,975028698,Панская дорога,,Панская дорога
way,961270353,Пантонный мост,,Пантонный мост
way,805285701,Партизанский аэродром остров Зыслав,,Партизанский аэродром остров Зыслав
way,547634857,Прилососянка,,Прилососянка
way,25269396,Просека,,Просека
way,1018787130,Проселочная дорого,,Проселочная дорого
way,1018787680,Проселочная дорого,,Проселочная дорого
way,1018788010,Проселочная дорого,,Проселочная дорого
way,413900381,Піна (зачынены/closed),,Піна (зачынены/closed)
way,402735979,С завалами,,С завалами
way,150950738,Служебно-Хозяйственный проезд,,Служебно-Хозяйственный проезд
way,315875738,Столбовая улица,,Столбовая улица
way,465198068,Столбовая улица,,Столбовая улица
way,128495411,Трасса 62,,Трасса 62
way,557303883,Трасса 62,,Трасса 62
way,224026456,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,284088855,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,629944752,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,629944753,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,963949100,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,972666196,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,972666200,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,976226102,УЖД Сергеевичского торфопредприятия,,УЖД Сергеевичского торфопредприятия
way,284087070,УЖД Слуцкого торфопредприятия,,УЖД Слуцкого торфопредприятия
way,776222933,УЖД Слуцкого торфопредприятия,,УЖД Слуцкого торфопредприятия
way,972847459,УЖД Слуцкого торфопредприятия,,УЖД Слуцкого торфопредприятия
way,972847460,УЖД Слуцкого торфопредприятия,,УЖД Слуцкого торфопредприятия
way,810144449,Узкоколейка,,Узкоколейка
way,784428588,Чижевичская улица,,Чижевичская улица
way,308843366,Ширновский мост,,Ширновский мост
way,435048190,Шлюз,,Шлюз
way,527638433,Щитянка,,Щитянка
way,498389113,"Экотропа ""Синеокая""",,"Экотропа ""Синеокая"""
way,836199045,Экотропа Бобровая заводь,,Экотропа Бобровая заводь
way,321939985,бывшая узкоколейка,,бывшая узкоколейка
way,431603593,гать,,гать
way,367832574,д.Будавник,,д.Будавник
way,569100635,довоенная ж/д линия СТАРУШКИ – БОБРУЙСК,,довоенная ж/д линия СТАРУШКИ – БОБРУЙСК
way,127009278,дорогу подтапливает,,дорогу подтапливает
way,775449717,лесная центральная,,лесная центральная
way,235363786,лыжная трасса Зарица,,лыжная трасса Зарица
way,242742067,лыжная трасса Зарица,,лыжная трасса Зарица
way,343011410,лыжная трасса Зарица,,лыжная трасса Зарица
way,242384618,лыжня,,лыжня
way,242388232,лыжня,,лыжня
way,242388233,лыжня,,лыжня
way,335537735,лыжня,,лыжня
way,343011408,лыжня,,лыжня
way,393312901,лыжня,,лыжня
way,393313675,лыжня,,лыжня
way,426826425,недостроен,,недостроен
way,81946940,овраг,,овраг
way,441607935,сезонная,,сезонная
way,1056639758,сезонная,,сезонная
way,1056639759,сезонная,,сезонная
way,1058317898,сезонная,,сезонная
way,1058317899,сезонная,,сезонная
way,369383108,улица Алеся Ставера,,улица Алеся Ставера
way,680447221,улица Дамба,,улица Дамба
way,320862158,экотропа Докудово,,экотропа Докудово
way,320862160,экотропа Докудово,,экотропа Докудово
way,844604913,экотропа Лесная речка,,экотропа Лесная речка
way,320862720,экотропа Озёрное кольцо,,экотропа Озёрное кольцо
way,498650824,экотропа Озёрное кольцо,,экотропа Озёрное кольцо
way,832346425,экотропа Озёрное кольцо,,экотропа Озёрное кольцо
